,mat_EOL_ReMFG_VAT,mat_EOL_Recycled_2_HQ,mat_EOL_Recycled_2_OQ,mat_EOL_Recycled_HQ_into_MFG,mat_EOL_Recycled_HQ_into_MFG_notUSED,mat_EOL_Recycled_HQ_into_OU,mat_EOL_Recycled_VAT,mat_EnteringModuleManufacturing_total,mat_EnteringModuleManufacturing_virgin,mat_L0,mat_L1,mat_L2,mat_L3,mat_L4,mat_LostinModuleManufacturing,mat_MFG_Recycled_HQ_into_MFG,mat_MFG_Recycled_HQ_into_OU,mat_MFG_Recycled_into_HQ,mat_MFG_Recycled_into_OQ,mat_MFG_Scrap,mat_MFG_Scrap_Landfilled,mat_MFG_Scrap_Recycled_Losses_Landfilled,mat_MFG_Scrap_Recycled_Successfully,mat_MFG_Scrap_Sentto_Recycling,mat_Manufacturing_Input,mat_PG2_stored,mat_Total_EOL_Landfilled,mat_Total_Landfilled,mat_Total_MFG_Landfilled,mat_Total_Recycled_OU,mat_UsedSuccessfullyinModuleManufacturing,mat_Virgin_Stock,mat_Virgin_Stock_Raw,mat_reMFG,mat_reMFG_2_recycle,mat_reMFG_all_unyields,mat_reMFG_mod_unyield,mat_reMFG_target,mat_reMFG_untarget,mat_reMFG_unyield,mat_reMFG_yield,mat_recycled_PG4,mat_recycled_all,mat_recycled_target,mat_recycled_yield
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816326530.6122448,816326530.6122448,0.0,0.0,0.0,0.0,0.0,16326530.612244844,474328.6788399563,4268958.109559607,4743286.788399563,18973147.153598253,59291084.854994535,11858216.970998906,23716433.941997815,23716433.941997815,47432867.88399563,859291084.8549945,0.0,0.0,35574650.912996724,35574650.912996724,23242105.26315786,800000000.0,858816756.1761546,1431361260.293591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,8.678725062541305,49.179442021067395,0.6942980050033044,0.0,7.984427057538001,0.6942980050033044,621415180.2667525,621415180.2667525,2276.8260194938607,241.07569618170288,0.0,16.071713078780192,86.78725062541304,12428303.605335116,361074.925797103,3249674.3321739268,3610749.2579710297,14442997.031884119,45134365.724637866,9026873.144927569,18053746.28985515,18053746.28985515,36107492.5797103,654121242.3860552,0.0,2620.7606793797568,27083240.195462096,27080619.434782717,17692728.527927123,608986876.6614174,653760166.7659601,1089600277.9432669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.71713078780192,160.71713078780192,144.64541770902173,57.8581670836087
2,0.0,183.0430198610842,1037.2437792128103,14.643441588886736,0.0,168.39957827219746,14.643441588886736,736595259.2217011,736595259.2217011,48020.545333926406,5084.52832947456,0.0,338.9685552983042,1830.4301986108417,14731905.184434056,428000.6137793465,3852005.524014118,4280006.137793465,17120024.55117386,53500076.72241831,10700015.344483659,21400030.688967325,21400030.688967325,42800061.37793465,775363430.7596854,0.0,55274.47241731011,32155320.505868293,32100046.033450983,20973235.718545463,721863354.0372671,774935415.5024645,1291559025.837441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3389.6855529830405,3389.6855529830405,3050.7169976847363,1220.2867990738946
3,0.0,1057.8233087308795,5994.332082808316,84.62586469847037,0.0,973.1974440324091,84.62586469847037,736381535.7689784,736381535.7689784,277515.3742040887,29383.980798079978,0.0,1958.9320532053316,10578.233087308792,14727630.715379596,427876.42920471093,3850887.8628423987,4278764.292047109,17115057.168188438,53484553.65058887,10696910.730117775,21393821.460235547,21393821.460235547,42787642.920471095,775138458.7041876,0.0,319436.5201426828,32410168.710496005,32090732.190353323,20972912.56055768,721653905.0535988,774710497.6491182,1291184162.7485304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19589.32053205332,19589.32053205332,17630.388478847988,7052.155391539196
4,0.0,3541.2823755630297,20067.26679485717,283.3025900450424,0.0,3257.9797855179872,283.3025900450424,1041042399.0381651,1041042399.0381651,929040.1293915354,98368.9548767508,0.0,6557.930325116715,35412.82375563029,20820847.980763316,604900.4255463858,5444103.829917472,6049004.255463858,24196017.021855433,75612553.19329822,15122510.638659641,30245021.27731929,30245021.27731929,60490042.55463858,1095834104.2507,0.0,1069379.8383490331,46436911.75432797,45367531.91597893,29663446.098353278,1020221551.0574018,1095228920.5225635,1825381534.2042725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65579.3032511672,65579.3032511672,59021.37292605049,23608.5491704202
5,0.0,8782.825774849203,49769.34605747881,702.6260619879363,0.0,8080.1997128612675,702.6260619879363,1272950312.9657226,1272950312.9657226,2304136.3915499444,243967.3826347,0.0,16264.49217564668,87828.257748492,25459006.259314537,739651.1292179775,6656860.162961798,7396511.292179775,29586045.1687191,92456391.15224719,18491278.230449438,36982556.460898876,36982556.460898876,73965112.92179775,1339947697.8586552,0.0,2652196.524108783,58126031.2154571,55473834.691348314,36300754.87745124,1247491306.706408,1339207344.1033754,2232012240.172292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162644.9217564667,162644.9217564667,146380.42958082003,58552.171832328015
6,0.0,18112.391654445983,102636.88604186058,1448.9913323556787,0.0,16663.400322090303,1448.9913323556787,1679771908.7635052,1679771908.7635052,4751707.687123175,503121.99040127726,0.0,33541.46602675179,181123.91654445985,33595438.17527008,976035.8880394249,8784322.992354823,9760358.880394248,39041435.52157699,122004486.00492811,24400897.200985625,48801794.40197124,48801794.40197124,97603588.80394249,1768180956.5931633,0.0,5469495.060095664,78672186.66305253,73202691.60295686,47945058.80029577,1646176470.5882351,1767203471.7137916,2945339119.522986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335414.6602675182,335414.6602675182,301873.1942407664,120749.27769630656
7,0.0,33013.575714239334,187076.92904735624,2641.0860571391468,0.0,30372.48965710019,2641.0860571391468,2526871024.1223383,2526871024.1223383,8660968.937377604,917043.7698399815,0.0,61136.25132266537,330135.7571423933,50537420.48244667,1468245.0582268715,13214205.524041843,14682450.582268715,58729802.32907486,183530632.27835894,36706126.45567179,73412252.91134357,73412252.91134357,146824505.82268715,2659864235.9182506,0.0,9969284.715682644,120087664.082698,110118379.36701536,72161457.27182116,2476333603.6398916,2658393349.7739663,4430655582.956611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611362.5132266543,611362.5132266543,550226.2619039889,220090.50476159557
8,0.0,55099.871711269974,312232.60636386316,4407.989736901598,0.0,50691.88197436838,4407.989736901598,3522815869.0511217,3522815869.0511217,14455213.25758626,1530551.9919797215,0.0,102036.79946531483,550998.7171126995,70456317.38102245,2046941.4312802278,18422472.88152205,20469414.312802278,81877657.25120911,255867678.91002846,51173535.7820057,102347071.56401138,102347071.56401138,204694143.12802276,3708227230.5801277,0.0,16638800.766143996,170159408.11216107,153520607.34601706,100663054.62106939,3452359551.6700993,3706175881.1591105,6176959801.931851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020367.9946531475,1020367.9946531475,918331.1951878327,367332.4780751331
9,0.0,86085.36155296024,487817.048800108,6886.828924236819,0.0,79198.53262872342,6886.828924236819,5538083871.845667,5538083871.845667,22584122.629634634,2391260.043137784,0.0,159417.33620918565,860853.6155296024,110761677.43691349,3217918.2076408463,28961263.86876762,32179182.076408464,128716728.30563386,402239775.9551058,80447955.19102114,160895910.38204232,160895910.38204232,321791820.76408464,5829561970.363859,0.0,25995653.624511205,267339519.19757468,241343865.57306346,158245007.7558303,5427322194.408753,5826337165.327294,9710561942.212158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594173.3620918563,1594173.3620918563,1434756.0258826707,573902.4103530683
