,Year,PCAs,Total circular mass by pca,Total mass by pca,Total recycled mass by pca,recycling_rate
114,2026,p12,225260.82367695606,1401732.9735522894,194468.92858819652,0.13873464651071946
115,2026,p13,2316897.3242459605,28143796.234400086,2125875.5110648377,0.07553620319587113
116,2026,p27,34618.41109487497,254237.848158448,32290.73161862098,0.127009931261283
117,2026,p28,10180968.475827688,103126282.26156397,9029927.071993094,0.08756184043452736
118,2026,p29,1430.452090985094,5399.208692701307,1430.452090985094,0.2649373588612699
119,2026,p30,589172.7999666012,4595286.831856037,512050.896164159,0.11142958315778118
120,2026,p31,1798924.0085976936,21275589.518724464,1626082.24705753,0.0764294801620622
121,2026,p47,127743.20899408073,1453041.473743279,122553.69441281143,0.08434287432766287
122,2026,p48,3045.694509511343,10716.621632282804,2387.9160246702004,0.22282358252500306
123,2026,p57,1019.0463276589728,2969.2326923491005,248.74306894395517,0.08377351818363644
124,2026,p59,3662.300089176754,11805.907277513947,2605.7780642221032,0.22071815430781702
125,2026,p60,14934.87004826798,75693.3647708853,10555.87708709906,0.13945577817884605
126,2026,p61,95440.48581198763,504184.1707138528,79394.5236786063,0.1574712739715628
127,2026,p62,11631.171618868184,54435.34976414696,10443.846188581669,0.19185779523474936
128,2026,p63,239688.68437463828,1002387.4322128159,215142.1960785918,0.21462978202316008
129,2026,p64,85761.47271831655,702763.2564430439,77156.74702478341,0.10979052521229338
130,2026,p65,488525.55951162835,4304293.852227311,417302.71375073737,0.09695033101301828
131,2026,p66,1412.577914616145,4391.662025379849,742.2982188337905,0.1690244409847515
132,2026,p67,8462.23921032056,85405.19481227187,4653.016851175592,0.05448166076318112
133,2027,p12,349962.0394417816,2228716.100565904,311108.24844014435,0.13959079326485296
134,2027,p13,3678236.657102199,44388812.26503688,3344566.517286439,0.0753470603654968
135,2027,p27,55650.69448575984,394791.210852474,53323.01500950585,0.1350663681047136
136,2027,p28,16668842.625054464,163732586.94976407,15114144.95671029,0.09230993804151867
137,2027,p29,1971.3842486211438,8670.291385622406,1971.3842486211438,0.22737231783123352
138,2027,p30,1008443.538968744,7327974.771838253,910866.1484906567,0.12429984775482
139,2027,p31,3178457.422178241,32912369.17897545,2874061.812822518,0.08732467107407386
140,2027,p47,191774.3984583391,2322427.2534203813,186584.8838770698,0.08034046431477015
141,2027,p48,4250.635210860278,17900.847135285283,3592.8567260191353,0.20070875410902037
142,2027,p57,1805.0360761072218,4780.6233847535805,298.4667096085574,0.06243259206747615
143,2027,p59,6164.858732539053,19904.10453372985,4848.610017241388,0.24359850045124348
144,2027,p60,31989.593995744362,159648.57659331383,25038.741551764553,0.15683661004725294
145,2027,p61,187022.7142596724,1024957.2867234262,154056.1639778783,0.15030495999532195
146,2027,p62,26651.84482298281,126575.25121818918,24012.70496660985,0.1897109011082821
147,2027,p63,375856.6790168206,1707147.7254073662,342278.7716141319,0.20049745345409756
148,2027,p64,134981.25551119205,1102096.2937811762,118091.04670178964,0.10715129645943343
149,2027,p65,742271.6181967948,6717452.355662468,650695.1971726274,0.09686636580669229
150,2027,p66,2789.3547582523925,7753.184201945335,1774.041246931385,0.2288145361600288
151,2027,p67,10817.065508825084,139121.30458300808,6870.901924965753,0.04938784857977063
152,2028,p12,563340.5938086231,3446932.8970276727,501976.1548120628,0.14562980185802926
153,2028,p13,6123967.793494743,68702322.00662184,5445020.379131791,0.07925525979466859
154,2028,p27,95183.74129463828,627759.1539874388,86664.82816808658,0.13805426431076895
155,2028,p28,24899845.353123393,252137081.6007617,22803935.024147775,0.09044260716976144
156,2028,p29,2678.4356327735127,14305.352432936003,2678.4356327735127,0.18723311049693558
157,2028,p30,1506561.4742345964,11367726.958406106,1370081.3136736152,0.12052377037966061
158,2028,p31,4981246.398399835,50067610.55422233,4503662.463830093,0.08995161570478197
159,2028,p47,364281.5941279462,3559530.9675777406,357384.2909435896,0.10040207381221056
160,2028,p48,5621.285299374616,27945.63334405906,4963.506814533474,0.17761296562593964
161,2028,p57,2150.8819723734446,6683.316676056626,298.4667096085574,0.04465847184494966
162,2028,p59,10246.800347838314,32500.755631464002,8930.55163254065,0.2747798153928143
163,2028,p60,63362.37614753577,314660.5320754613,51216.59516120485,0.1627677765094549
164,2028,p61,308584.1302233411,1959223.852109752,249086.04573166854,0.127135061909054
165,2028,p62,56200.325176688995,270927.8088231425,51376.822959325094,0.18963288848972715
166,2028,p63,599909.590590293,2865353.198501382,541707.8164826527,0.1890544651758719
167,2028,p64,188162.4296303675,1677920.7111082845,168510.39311567534,0.10042810247235844
168,2028,p65,1065845.5624504685,10182637.168260245,962821.4673281088,0.0945552170246494
169,2028,p66,3546.6029889834367,11102.26908437583,2531.28947766243,0.2279974893803197
170,2028,p67,18060.922610730922,231650.08412708528,10552.323440491924,0.04555285822690583
171,2029,p12,775813.6520267685,5134651.396018093,694487.3525590652,0.1352550151890814
172,2029,p13,8680785.085627254,104561357.55207527,7671603.7556941705,0.0733693970248372
173,2029,p27,150057.78854986743,949611.1743763315,141538.8754233157,0.14904929432435654
174,2029,p28,37261160.87941584,385217233.62489426,33600775.01176225,0.0872255238831839
175,2029,p29,3991.143112354096,21690.01065039067,3991.143112354096,0.18400835189457176
176,2029,p30,2202293.835396705,16968108.261692945,1916234.5533294906,0.11293153743340766
177,2029,p31,7275624.52599971,74466011.36052229,6660428.406603827,0.08944252934883005
178,2029,p47,463782.72510789084,5276679.2985828575,456316.1590558385,0.08647790271779261
