,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.05267699979262052,5,10,100,442,443,999,1,0,64717042066.436775,64717042066.436775,0.0,3467545390.3527613,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006129236439528777,0.0021928723132753404,0.11956439776744655,0.24316787398655423,-0.16822673843987185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.05170372176697019,0,1,960,14,25,18,982,0,64731945856.43758,64731945856.43758,0.0,4000528515.9793205,0.0,0,0.0,143263592372.0322,1830183052.7238846,3880055626.742472,0,0.0,8058383022.253479,105641809.6378663,218247873.51936954,0,0,0.0,0.0,0,0.005835627301963888,0.0021928723132753404,0.0013535969369649695,0.24316787398655423,-0.13752701894967653,5575499171.526187,1520096473.8572779,-581105663.668324,17107108042.636145,-1328962642.6021621,482207.95818423526,482207.95818423526
2,2022,0.05067612835872299,0,0,1000,0,0,0,1000,0,64748401416.435745,64748401416.435745,0.0,4001232521.1697903,0.0,0,0.0,337657726079.4171,1182247326.8675911,3730822718.021608,0,0.0,18587004823.74049,77168863.23741256,209853724.53785533,0,0,0.0,0.0,0,0.005829588730434833,0.0021928723132753404,0.0010931307600647135,0.24316787398655423,-0.13213450740495064,13001104241.013422,3544603291.117641,-1356790444.010714,17366950130.00072,-3143950262.960547,482207.95818423526,482207.95818423526
