Recycler Name,p1,p10,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p11,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p12,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p13,p130,p131,p132,p133,p134,p14,p15,p16,p17,p18,p19,p2,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p3,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p4,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p5,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p6,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p7,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p8,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p9,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
3R Recycling,3101.2226732956456,2912.6372208728385,541.9038423337289,1175.1617085743114,1429.4532897987367,497.3578776316164,349.7255551061972,234.44947310512487,165.25377700560418,160.69725653032714,296.4347434082348,141.3244791015918,2955.76459571278,241.02402213510717,332.11673995961297,188.0102210071059,90.86568804399072,27.004893133341298,421.769375250745,374.0024518538622,266.78893394628085,387.56700375414215,605.3074650990117,2760.4239773061927,574.594054241624,475.042457309873,638.7285582890695,668.5649656858676,788.4187359746348,774.8918050334984,852.0830317044229,865.6028608304422,977.027838495577,1126.1390806525676,2691.160021711452,1193.8361572149556,1119.7816814617895,1033.7771407094967,1129.3042113328993,1434.656459666181,2740.7141549889297,2598.229232820655,2369.7131980296404,2500.977089107745,2259.7602308208307,2036.723876879049,3096.7206044746586,2074.7227724516156,2113.58912100166,1925.0232412544938,1792.6322706692688,1827.480677913489,2356.9453244533584,2201.9771793213545,2597.458361844139,2468.4640009011905,2245.475830844423,2881.243295679653,2568.647324587857,2019.2185733650915,1654.469304134033,1828.9681151176242,1803.6904983488635,1884.0562089911582,1677.5151905696098,1509.5089641378493,1398.484028262446,1563.913210127242,2955.0992123848114,1271.058546919154,1027.2624273060817,1326.364891280017,1091.1805995129307,1101.8541162156434,958.4449596604146,905.8143495956607,1843.3993935232513,1602.632626088776,1510.474909693445,3045.090738197202,1222.1451734147736,1026.4986438379162,1427.0638693953638,1127.1519937278294,811.9490901566255,818.106460108089,897.0857050387367,1135.8072274514843,1143.8741786362136,2122.1951358866913,3213.2024346844732,1561.4131882003355,1877.6491046901358,1808.0954525943616,1359.7326475920054,1584.9163155875465,1764.7524153055776,1304.2546407229502,1456.2091442767676,939.1856043009392,765.1526365605368,2885.329570223873,743.4751844612466,650.3080405165659,597.652126015997,592.2350883521907,866.6328045058434,767.2883580567207,671.300186621806,692.876449720546,579.958458096204,540.5664827816366,3122.4908398003668,468.1905317811918,454.780939618109,450.8411327959381,335.1328497072841,635.4182082889039,828.9806096674879,986.7144272998135,899.7571514693574,700.6726867878804,657.3815141325401,3180.478832323196,790.3080430969444,954.9450617180593,397.9135853619718,373.0038052996087,723.258094775971,537.4936041260439,704.1887573883951,463.61631637543593,700.784128666549,588.488718233752
Cascade Eco Minerals LLC,2493.706264337059,2041.3481786154525,1436.2056694527726,1477.765859679684,1749.6489222472264,1109.1898064898992,921.2505928241817,820.6615572426939,797.5092062289116,742.4578039250806,646.614765868572,885.6099089050479,2065.544539287323,1032.4462191314929,1186.4201372232717,1071.5056102567773,967.9732587858824,929.0507866568395,1320.4344339542433,1269.3544702376037,1128.9772930472711,1204.942983768603,1495.6244451426091,1957.1963330733472,1477.539729641596,1377.4173393695378,1536.5359143528192,1566.7162442948506,1668.31556413363,1672.785848292316,1755.0155153343112,1736.5501552365533,1879.0972296831899,1993.0405869760882,1827.8951931380059,2070.249114229591,2012.803203267492,1931.86793032553,2027.9187948886106,2293.2250139792523,2151.699975388437,1918.522501564017,1657.8630360281725,1906.3927747577159,1712.9021907519018,1562.1790884971363,2456.8107816558963,1524.9081661887492,1417.6712110466144,1303.5479598492452,1191.02801309666,1124.491723620408,1538.2791573480692,1419.6763077290677,1724.696580950923,1575.6892414501588,1358.2902899917924,2289.823295190362,1666.433844840972,1119.926098551288,1073.543411303322,1039.334922270837,954.4046823514855,1416.264138903478,1280.7062238487988,1237.5169656739456,934.8159358177934,872.5505229052382,2343.948071938553,636.127662343014,456.5148847369385,1219.5531393176718,1023.1214405832096,822.3670918646094,594.8588574083739,967.7268770847705,942.1788884184672,699.7589308875492,622.1043773616766,2362.2176778358867,331.6906459284417,133.66405486582082,601.1524168679773,299.3223542562496,293.0121274268045,85.5046861409216,195.3127235490896,469.46723621027235,731.5109862028152,1224.307885301167,2480.557944834956,677.1321223258635,1015.8674166856091,931.8756663383845,575.4570999059339,837.4701026505965,1056.9643268891828,711.6065214471007,839.7641875855991,754.7556662684965,679.5378546414568,2163.6706743012937,519.2559057343142,387.5613843034662,318.07106957306286,311.9673238734843,1157.2269347433592,1017.1705284465743,899.3805822541208,781.8574254348454,776.9326322348649,853.0859007610102,2357.9765973182,715.2217281229199,483.1186884890204,566.0363080706269,615.9395734469589,285.81162797108374,348.69895062516474,554.9036199157355,675.1584081209189,615.1173944802948,754.817028179094,2363.4347007679094,917.3025234200329,1064.0806654091714,739.2269288825103,605.2328766086757,1122.7137370906614,1152.4410924627716,1327.2534436706476,1176.6120051571252,1484.3119172589475,1456.905515337905
Cleanlites  Recycling,2733.339266766817,2807.553205506457,880.6223475680612,1735.6464916308462,1990.3394962558748,143.06214267868438,214.75499211674793,361.21723906925587,448.88538940852897,567.9515975238997,725.8875789525932,698.7484158652837,2895.618875353889,788.3078802190773,468.7798248713328,508.4410930782055,503.25091562414536,556.0896918216677,660.4812150130764,758.7558167570404,758.8409641415425,890.5557921516814,734.0319969889438,2562.923879567427,825.185969122371,775.0636343695993,801.1834364194755,958.205728858818,1125.4441292109498,1046.0676066493595,1040.4253222470393,866.6888623257626,1122.085296781576,1084.952338685506,2578.344112851632,1176.3872452986259,1176.5639214205678,1131.0243035442918,1220.3528037450355,1350.457322473722,2374.089559106344,2297.783838546008,2105.7949981964416,2148.292055607155,1892.1669467024885,1644.873834414715,2749.527851450483,1721.404421952037,1854.209059059012,1628.9585649661258,1497.2989702647926,1599.298839007606,2195.694546321571,2010.722688905208,2505.787090833965,2431.289324805864,2200.8219230919403,2510.816073230344,2578.0456101363948,2026.6833024999419,1363.1988054044093,1674.9279927830667,1719.253910496995,1501.1849110245357,1279.2595100371625,1072.1265106201001,1079.999696755828,1361.182115996879,2594.108336264717,1089.8203859086852,894.1967511893463,842.6439990172543,634.7291662565655,758.1346880310526,732.1067755461941,439.21322420271565,1919.590133109212,1671.8613367186815,1518.297221786312,2729.465888770573,1359.7988316634478,1168.3500226440551,1360.1386706249914,1125.7869460844718,795.8339701107192,960.0117365709613,1132.3107753017546,1429.2354752267088,1545.9695629476166,2207.143897458546,2931.6977784524,1698.9980401637797,2045.4254416615202,1954.610197641997,1599.6136637798677,1855.7277361923946,2064.9590786446374,1646.3186828423673,1795.7895980339008,608.7198560604645,487.9885534624962,2605.4609354948434,591.4942134681049,652.3424885200777,744.2469973019128,808.907011385804,311.72906340299596,248.93826882341497,229.75474561693753,347.5524084099247,279.7962406891922,189.3530728405669,2872.435427839367,322.0307111178478,593.7313527027726,483.8592348600344,499.33508294418664,879.8055599233629,1146.3020126194094,1361.5391569433511,1336.442806561907,1144.0462710756312,1153.068629005877,2985.12346905386,1313.0398715980302,1487.3487604186043,904.1859881310878,798.7439425825797,1282.3810268717707,1094.0634236457215,1250.1725007706127,1005.9403663050048,1178.3027756428617,986.729060164645
Cleanlites  Recycling 2,3101.1620808960106,2912.670478338496,541.8709892341907,1175.335961586599,1429.6206422292203,497.1729709784963,349.56341850209554,234.32948599745168,165.17916422429218,160.7629670997388,296.57528692767556,141.5098187228386,2955.812965081337,241.14751613665536,331.9539451249369,187.8617587560522,90.68892165267154,26.8888629591967,421.66690657055375,373.97220566710564,266.83269484373005,387.6408607819895,605.1909324115995,2760.4246046539665,574.5209448196629,474.9794487043376,638.6271912563442,668.5195330939216,788.4055204083103,774.8459280372473,852.0078924556194,865.4698316398407,976.9436646737423,1126.006264879307,2691.189108867002,1193.71137787599,1119.6750765150052,1033.6796232968584,1129.2084086144407,1434.5209012069702,2740.6522190613664,2598.191639743294,2369.687065535364,2500.9190514211564,2259.694571678368,2036.64679110109,3096.6681775228362,2074.6608377609596,2113.5619667758374,1924.9806025152218,1792.587991420435,1827.4605972985046,2356.9550645917966,2201.974948957904,2597.4937561828892,2468.5161810091904,2245.5233919379184,2881.1806206111014,2568.7152978839495,2019.2803889524064,1654.4241422855707,1828.9735447496746,1803.7189397846494,1883.980972162555,1677.4314621579813,1509.4077930023393,1398.4238571907915,1563.8969181814698,2955.040660348425,1271.0413946281199,1027.2508432383943,1326.2425592457155,1091.0638497907016,1101.7760613061432,958.3982617477815,905.688022889613,1843.480792076541,1602.7078301908925,1510.528105139845,3045.0502206720257,1222.2336290337616,1026.5815268958086,1427.0900772490322,1127.1900842917844,811.9628550386469,818.178028837189,897.1953611356006,1135.9438587046986,1144.0424149727014,2122.282704696368,3213.1755912092062,1561.5094919816913,1877.759332669199,1808.198337309142,1359.8572330022362,1585.053539061938,1764.8997407101026,1304.4086075310677,1456.3642154706572,939.1041204299129,765.0746390436616,2885.301510779909,743.435085749501,650.3106414101048,597.704161708683,592.3154449257868,866.4709053845161,767.1398616512677,671.1663972357406,692.7706231632264,579.8483744622405,540.43450606933,3122.4750526525063,468.09910096110286,454.80314542152234,450.8146409408863,335.1258241984537,635.5144183547726,829.1160198082848,986.8727452708649,899.9313060818955,700.8452805345448,657.5666496994853,3180.482860452926,790.4970587346456,955.1339090244211,398.097488956314,373.1531578636468,723.4361536021379,537.6458353682681,704.3251908934592,463.74272666821537,700.8544653421932,588.4962926688212
Cleanlites  Recycling 3,2185.592277216432,2287.394416157403,1400.9569357858434,2023.65855121394,2297.0623706581187,703.5192841600124,658.6419489252586,717.7291520393123,786.2096565757362,859.5712992289291,941.928313518729,1050.9268480882279,2395.361959618302,1187.926603496793,999.4916097507818,988.6488928230201,936.4542528837384,959.0602732629943,1193.0097987449715,1256.0830282685827,1205.5488604827278,1333.750894682361,1290.0161717524643,2013.0809903797333,1365.6312464251134,1300.80694431978,1355.4284616327288,1495.1430429399122,1654.5706334660701,1589.7115381605927,1596.94225504257,1425.8383694009126,1682.7367694191778,1633.504345900108,2057.8729517382008,1726.8510399413476,1735.9323578667575,1692.400196116364,1781.2883149103911,1880.7521396606116,1824.8748404032729,1736.5231846636837,1545.9898703329227,1594.1639057153636,1341.358392373948,1102.579043528072,2195.7221838824476,1165.6204139784259,1296.090540188403,1067.8136221009445,936.5949793606158,1051.5056095176883,1661.088129122781,1468.12394118739,1996.242838594515,1952.692041288126,1724.344840657894,1963.3420909664503,2124.4269793981607,1591.5711594951613,803.7653055381948,1155.8270872599617,1237.816696246194,953.7711277709645,737.5450446582366,560.3644220207852,519.5357415340528,831.0012888649493,2043.7406120885762,594.5009701907184,484.3779823579383,413.09447976595334,182.43665880236117,199.69390634812393,286.64894402962085,171.20240465952168,1543.4598258809467,1309.4702019921908,1119.6299994400574,2169.9152595889054,1099.9492249508214,951.8288675254012,918.7055486000039,780.1908568070855,555.5284263809085,807.1726581825205,1018.616513318287,1315.364537879095,1539.2658957658691,1821.7041753966528,2370.239824380981,1394.5992127167483,1740.2412063825418,1636.5055642060083,1405.8056627625647,1666.7529145234994,1890.448894413323,1556.7254868259351,1687.6961167704835,100.79999020387625,213.418405947923,2044.0272105246602,349.2907310598588,530.0657309235919,701.3521782492221,796.3172445289206,433.9426302046258,348.497996079801,334.38516281965354,258.6820104769085,372.91989118790866,437.9666350706501,2312.365607122185,482.1793211764254,656.1389066420794,565.4248337090856,677.8750282121017,860.4001200030166,1113.283799899553,1348.380546755359,1401.2673470453049,1250.0975745058017,1324.8271613704069,2433.5385082088615,1507.110532410364,1684.6275691146766,1137.6271883694517,981.2583931855607,1579.4940602013455,1461.599716033902,1640.4698221928345,1407.9055619239232,1644.1814883098787,1490.243882242214
Cleanlites  Recycling 4,3546.3801512822956,3190.776165172887,537.3589679022099,694.5255116393417,929.1030927555834,985.0739861813307,863.1347536076518,746.5309647699837,666.0646027042321,586.8039651550213,552.4374948138344,395.4417260905196,3198.528752119603,281.6164715808069,704.0195433065904,586.4674979739932,566.6969880552258,515.6965135211229,630.0242879151294,462.85883374486184,345.2733996916197,251.69956321078297,788.484734048144,3107.406525467936,655.8667124522793,572.5417971527562,773.4130838590773,648.3715361373238,648.9987269565269,727.3062932314148,869.1246399651561,1050.3576401981963,1000.2156140889474,1283.0681431157402,2981.0124847186166,1318.557413020879,1193.3670689697708,1089.030940799885,1168.9838256943492,1580.0021593232166,3188.996115698241,3012.302175047053,2767.352645460461,2945.120028740008,2714.979158537056,2506.4927824026954,3530.4407757575236,2526.2942214273294,2515.279575255325,2351.8447685340893,2223.0781047144737,2221.340793064243,2690.746691063449,2560.2839069209676,2874.663985222451,2708.9035693595993,2500.6846859559423,3329.9715443353057,2768.132329868057,2245.3779910407843,2087.645334333138,2179.0459139352997,2109.7705324003987,2352.532889275415,2156.0506938855397,2004.3639615570899,1853.5977507183943,1956.0201374696535,3397.9848927847247,1670.8799008729472,1426.299323372217,1835.214198984349,1597.6453009102975,1579.2506060545352,1405.3449054202324,1417.033959100107,2024.3936301071892,1808.3796680375906,1772.3152896197264,3461.209426992239,1413.3025596643176,1246.616669840612,1748.0747264988522,1437.7236734386436,1183.7002458482805,1084.3784412643251,1060.6384472902143,1184.684878358942,1045.9120245818515,2278.181052751029,3606.331443005982,1712.0708621861136,1973.3327029054062,1929.132765702983,1433.422024489799,1598.8323886283101,1728.451611817472,1265.77088371171,1401.464807536585,1421.585742714091,1247.1862693606042,3282.360292394229,1189.5542083106825,1049.7938395795748,928.7347484103605,872.4586298592429,1379.0372985327067,1282.6902491388876,1185.1025605274417,1195.2235547873322,1085.434502173002,1054.1255063922445,3496.965370123911,965.306674057676,849.6749247393059,899.2028883621349,777.6984031683564,873.8961359448349,922.0642414109176,961.4605661170682,797.7587521528619,654.4939225467174,517.5339338187275,3517.423797955071,520.8707901001541,616.6333074331649,416.48048293737537,562.5767086524035,291.13069478136487,32.06389909741849,195.6464249627522,93.42500837154613,355.2077094594075,460.278271450882
Cleanlites  Recycling 5,2999.7840654528554,2947.82151934066,586.3066800692217,1438.6477459832545,1685.755425050547,227.68924616837893,157.2755921060283,199.41608261501904,243.23474842666397,351.828812848479,522.7026450990718,414.76187184854047,3012.6766402204657,477.6214252567534,194.26612812543704,188.803590903193,196.4078439432981,260.35675501627554,381.84605563247624,447.8736220238776,439.0933089929229,570.5907607042061,511.3761475347804,2749.0864383077464,556.9706950310008,486.3464915858721,568.2184789981021,682.9811247128317,839.8937805376144,781.0527683422101,809.2754421226554,722.7974823491361,914.0203328828313,975.2660691508823,2721.405172121548,1055.7420871192016,1014.8994852382544,946.8227763941419,1042.1563052601166,1273.2791889110956,2638.8562837575173,2532.392132621893,2321.9421048319746,2406.0246969419145,2155.2323797849244,1917.139711857245,3007.075084653028,1977.0274933345572,2066.312047324333,1856.9333359048815,1723.5801440311375,1793.3567905491068,2361.2576695073744,2190.133305557738,2637.3487115267994,2533.3703245663064,2305.1814423512537,2777.6826296459726,2655.8229254025414,2101.153128385532,1585.867311254419,1831.801082913622,1839.9337329898938,1768.5243271904853,1551.5900548769187,1359.5617378712889,1311.781264448287,1538.8601169230278,2857.181515194859,1250.4221681462373,1021.8309169146265,1146.750451386987,924.5824093675366,995.120715249458,904.2253982093723,729.0083916611537,1954.8058103496764,1707.7597290859405,1585.7903210210393,2972.8516785462602,1351.2737009845382,1152.2287101564136,1465.4928687959632,1188.9129497788736,851.8865874325109,935.4770535359232,1061.5213846930492,1331.6512567468337,1382.9503222140327,2240.2594827977937,3160.0516265332776,1696.6676490860048,2029.8032814259693,1950.3255077805788,1536.545543465318,1777.4487928249337,1970.6684124455817,1522.2985947263105,1674.8481311443745,832.7995420623683,673.203782480614,2831.8203378781845,710.7554291450343,685.6297709044975,702.1867202299466,732.2266022585826,631.4880526298411,557.8185208967107,492.6653665255789,560.963088095263,451.10605707614593,376.80498813176865,3085.6939214769427,387.50016584041373,536.95381370272,470.54592681940625,404.66706868970937,792.2752837456094,1028.1360853404863,1213.3829451210304,1148.5685069900471,949.01219156212,922.8903883941044,3172.134509753738,1062.8098143935129,1228.7649192131005,663.2822650897766,602.8982620805746,990.9282048772926,784.8202650295599,934.0213397492275,690.111609813302,860.5765412105508,680.6881746339454
"Dynamic Lifecycle Innovation, Wisconsin Headquarters:",2365.163213930674,2415.1909285634356,1220.4908216400058,1868.9811116175288,2140.080345160494,537.6989116064461,478.0425349380438,538.641296359978,610.0269562047333,690.2679810794066,786.9233524500362,877.934112664598,2510.9970778097795,1011.3594908090178,821.2021559555791,807.4561931141021,755.9787338532998,780.3625959668007,1014.1705519559492,1074.912525807757,1025.5537054758922,1154.3803243134919,1117.044496411233,2163.4188312450833,1187.5795350259937,1120.9344107343557,1181.3937191112989,1316.2508030501633,1474.5181102405825,1411.8744455186934,1423.615587435715,1265.7888337212364,1513.261667300105,1483.2454371602805,2185.6673245948723,1575.2188549862483,1575.4112739087848,1527.205648658274,1617.7133903931804,1742.2162982349885,2004.2624014069725,1907.3970478992833,1709.0090816570603,1772.140485049922,1520.6444338365563,1283.4512830697777,2373.498391214139,1343.2417256229062,1456.3189224659004,1234.9178072325142,1102.3925897713189,1199.7871128379081,1798.4955554962871,1611.821158754317,2116.968175650236,2055.2722105786515,1825.1465185180955,2143.0515558081524,2214.1549678384285,1669.9160355341899,966.8605372858677,1281.2684400827861,1339.604674271042,1134.1409980290084,918.6698051198654,738.5630261122895,685.8315422293988,963.8237701414216,2222.7336709193632,700.2619718099928,532.3218928469846,565.6883919450851,326.24811680808875,364.5103789907258,347.96870111038066,176.69215141048977,1593.02350492575,1350.5914421939233,1175.9799956273882,2343.885249788637,1093.178450677943,923.7544134533556,995.1291141142117,803.9563248915752,518.1665506695549,748.983141473996,954.364051589069,1258.282825670177,1451.8672288893176,1877.317047147161,2539.2995305121235,1411.0865327667864,1760.3927231479452,1661.2173181048163,1378.6284554582696,1641.1170385832434,1861.7831860998208,1495.4068654293105,1634.1262581179858,209.41309539199153,129.09826803666803,2212.098956077464,286.7374204864611,439.867800734429,598.7018859715744,690.1126815534878,363.95835850080687,236.70856291740745,170.5689826555092,78.73172687648527,192.54721550826187,258.17520996307616,2475.6063581205412,308.06413176116433,519.6888864630679,415.7531491174828,518.0008602919997,759.4592920434833,1025.444464833157,1259.7984797867116,1291.51596855895,1126.864595223342,1187.4624646336,2585.598606365125,1367.4258249973366,1546.1817132780375,984.175504972053,833.9255103533989,1420.2206452329015,1290.5668560384775,1467.4795568418444,1232.4459494176974,1464.0562490795905,1309.0686433504502
"Echo Environmental, LLC",2636.31309000801,1878.322938818525,1797.3539214969414,1480.5008737525404,1721.5973439015306,1595.9245869986803,1400.240371001281,1281.0526827948322,1238.723485804654,1155.2296163930707,1013.6480034013879,1245.6773317518857,1844.8770890256103,1367.3351731131831,1621.9035375577364,1490.0763730798305,1385.4522838219323,1332.8457740565311,1725.4765031258517,1639.6785877408806,1482.2059604151,1523.9076110684123,1911.0322778079424,1923.7205052008521,1863.4383087529573,1759.7024631727315,1941.329629027211,1930.4138965199097,2000.3911015421716,2032.7896935987144,2137.599726093598,2169.237478712408,2268.324647765835,2429.497812268686,1694.6978316154007,2499.3590332183926,2423.184265442041,2333.3550037798414,2427.5822456027818,2736.2456454711773,2325.430005968525,2030.0956052128004,1757.5060208489906,2090.8848596803978,1946.0153810490538,1853.1865780124235,2574.4965692444944,1772.1307591388033,1556.909325952734,1522.0774435757628,1439.5379121250191,1295.6864951966593,1511.567517410506,1459.0255167227194,1574.1894223585518,1367.500974427626,1189.5467333570275,2454.4518344014523,1388.5182706756268,912.0906739410889,1354.207805468676,1122.02251577895,948.9521316420704,1724.4820998934626,1638.9146940655883,1650.3346615763694,1306.2540419274512,1102.7056153356782,2490.519918564048,973.8828010738331,889.1029146221474,1680.7676705303516,1505.6967132410807,1279.321837454441,1065.58915542555,1469.5517573167056,654.4855765269922,497.89611475205163,594.7308937367428,2445.8276670224777,266.4057851354063,388.42986108100285,745.5000021610821,607.1883456245736,793.977641737378,576.9126744757135,415.66561540737854,222.69061185687698,518.3031319693722,884.4374942662669,2508.7326160279863,336.0564996800269,580.9547887013928,530.9882593799922,67.44875685450711,329.89999920667367,552.2392981898342,339.61603441445754,401.5289657719685,1240.8928982163513,1184.2149679793442,2218.6423536488874,1024.6024053781916,894.3225883229511,793.770175302908,746.2917792640537,1665.6399372951712,1525.7007864862596,1407.573015139072,1290.281624200351,1283.2419988586735,1356.0781308863482,2355.0999154038027,1212.9226926549052,954.95121487022,1054.380870715505,1078.102405347176,684.9930452281948,490.169253577854,467.41521276405354,655.883203290113,745.7488381061422,892.7067100604818,2289.4869662440346,983.2445309434247,1060.8825258353022,1016.725356975344,945.499969332037,1258.0927283000933,1383.9010294964248,1527.914505975555,1448.597276403692,1752.2804903313142,1787.8126491207322
EcoTech Recycling,227.97571933360126,1301.4109554395063,3697.6847358151867,4016.7881243931024,4285.603445826617,3004.6792707611266,2958.082690187754,2987.6974495608383,3036.028361785001,3069.1722243091804,3074.175097904092,3264.1231939251584,1534.24413878117,3417.5693550877936,3303.887996874371,3278.3900894167855,3210.040234205823,3215.7797523616046,3496.4242846295474,3544.0190380561044,3466.098130342841,3583.3916464574227,3594.715740298366,866.7007686138686,3670.268372348738,3601.0714771834378,3660.783265893419,3798.230349592184,3953.1879387213644,3894.595676620571,3901.561990662799,3707.8587294646577,3982.032198645602,3884.5481397173285,1267.8086201581282,3979.763816206125,4014.7276009452403,3983.139840873495,4067.448636135722,4082.4369925170186,506.9048310541099,622.4630199350116,888.7487598827108,713.7847401136065,972.7715052850165,1230.0756729876416,123.66236616836132,1140.5058966554027,1123.3765261875965,1276.5183749863863,1407.671868202665,1417.7794908377168,1176.6242456549187,1181.650275284737,1373.8539376304686,1622.0144509893835,1629.3061154326508,394.3069353981202,1823.5480900669777,1865.4613669271916,1545.3866162596562,1527.713235375577,1690.411343925564,1364.1153816225622,1588.1068205913443,1813.3993050908769,1806.0690905523938,1678.1463028383012,296.279360859433,1956.572595692474,2200.353343575739,2075.846198112738,2236.1196379457933,2120.2407035802535,2240.9896988561723,2425.6692906605253,2125.436581919956,2160.051518757176,2047.6626210741042,199.4632560087401,2433.640172230877,2505.6547461223436,1956.0956940901867,2241.7842017683415,2444.547448466999,2589.4792448995313,2707.1008302589835,2815.0863192129596,3141.4904964495768,2130.131127018591,355.54034587027127,2357.0088588339436,2436.099719977251,2361.3918153498635,2666.875327827443,2777.8633465904068,2920.876227563961,2976.6584140370333,2998.73878111327,2282.8075425133197,2447.9292064216756,447.74941937340634,2456.8442430655823,2578.357522486402,2701.651188271123,2769.2193841796793,2640.8739398534326,2623.69416662472,2639.391706109939,2554.6035614817606,2664.60466036276,2740.6401073074503,534.3131054554883,2747.5491467320066,2780.8989252415504,2752.1105701790807,2873.239039379866,2786.7334399335236,2875.495087306303,3024.21046406629,3187.8475337987174,3155.854459161584,3294.5796840638045,852.5948947708664,3457.6751262255916,3597.0648020814383,3231.0666982205794,3070.934139830948,3653.4366941354533,3632.475862207424,3816.6818992197773,3617.56970642728,3895.7528591354103,3775.8812610841624
