year,aluminium_massperm2,backsheet_massperm2,copper_massperm2,encapsulant_massperm2,glass_massperm2,silicon_massperm2,silver_massperm2,total_massperm2,mod_eff (%),STC irradiance (W/m2),aluminium_massperW,backsheet_massperW,copper_massperW,encapsulant_massperW,glass_massperW,silicon_massperW,silver_massperW,total_massperW,wattdc_per_m2,wattdc_per_module,glass_kg_per_module
1995,3.09118541,0.18,0.005376,0.846,8,0.848421429,0.088,13.05898284,12.5,1000,0.024729483,0.00144,0.000043008,0.006768,0.064,0.006787371,0.000704,0.104471863,125,250,16
1996,3.017416546,0.18648,0.005376,0.846,8,0.831785714,0.084571429,12.97162969,12.7,1000,0.023759185,0.001468346,4.23E-05,0.006661417,0.062992126,0.006549494,0.000665917,0.102138816,127,253.9999999,16
1997,2.7,0.19296,0.005376,0.846,8,0.81515,0.081142857,12.64062886,12.88,1000,0.020962733,0.001498137,4.17E-05,0.006568323,0.062111801,0.006328804,0.000629991,0.098141528,128.8000005,257.600001,16
1998,2.540372671,0.19944,0.005376,0.846,8,0.798514286,0.077714286,12.46741724,13.06,1000,0.019451552,0.001527106,4.12E-05,0.006477795,0.061255743,0.006114198,0.000595056,0.095462613,130.5999994,261.1999988,16
1999,2.484698914,0.20592,0.005376,0.846,8,0.781878571,0.074285714,12.3981592,13.24,1000,0.018766608,0.001555287,4.06E-05,0.006389728,0.060422961,0.005905427,0.00056107,0.093641686,132.3999994,264.7999988,16
2000,2.433962264,0.2124,0.005376,0.846,8,0.765242857,0.045348571,12.30832969,13.42,1000,0.018136828,0.001582712,4.01E-05,0.006304024,0.059612519,0.005702257,0.000337918,0.091716317,134.1999992,268.3999983,16
2001,2.387533875,0.21888,0.005376,0.846,8,0.748607143,0.043154286,12.2495513,13.6,1000,0.017555396,0.001609412,3.95E-05,0.006220588,0.058823529,0.005504464,0.000317311,0.09007023,136.000001,272.0000019,16
2002,2.344887348,0.22536,0.005376,0.846,8,0.731971429,0.04096,12.19455478,13.72222222,1000,0.017088248,0.0016423,3.92E-05,0.006165182,0.058299595,0.005334205,0.000298494,0.088867201,137.2222226,274.4444451,16
2003,2.317892053,0.23184,0.005376,0.846,8,0.715335714,0.038765714,12.15520948,13.84444444,1000,0.016742398,0.001674607,3.88E-05,0.006110754,0.057784912,0.005166951,0.000280009,0.087798463,138.4444438,276.8888875,16
2004,2.256019262,0.238042153,0.005376,0.846,8,0.6987,0.036571429,12.08070884,13.96666667,1000,0.016152883,0.001704359,3.85E-05,0.006057279,0.057279236,0.005002625,0.000261848,0.086496722,139.6666673,279.3333347,16
2005,2.113832853,0.244227106,0.005376,0.846,8,0.58225,0.034377143,11.8260631,14.08888889,1000,0.015003545,0.001733473,3.82E-05,0.006004732,0.056782334,0.004132689,0.000244002,0.083938934,140.8888898,281.7777797,16
2006,2.083479481,0.270842371,0.005376,0.846,8,0.4658,0.032182857,11.70368071,14.21111111,1000,0.014660919,0.001905849,3.78E-05,0.005953088,0.05629398,0.003277717,0.000226463,0.082355845,142.1111103,284.2222206,16
2007,2.05468216,0.297391144,0.005376,0.846,8,0.44251,0.029988571,11.67594788,14.33333333,1000,0.014334992,0.002074822,3.75E-05,0.005902326,0.055813954,0.003087279,0.000209223,0.081460101,143.333332,286.666664,16
2008,2.027324225,0.323872685,0.005376,0.846,8,0.41922,0.027794286,11.6495872,14.45555556,1000,0.014024533,0.002240472,3.72E-05,0.005852421,0.055342045,0.002900061,0.000192274,0.080588997,144.5555545,289.1111089,16
2009,2.00130039,0.350286245,0.005376,0.846,8,0.41922,0.0256,11.64778264,14.57777778,1000,0.013728433,0.002402878,3.69E-05,0.005803354,0.054878049,0.002875747,0.00017561,0.079900948,145.7777772,291.5555544,16
2010,1.987150659,0.376631063,0.005376,0.846,8,0.41922,0.012327416,11.64670514,14.7,1000,0.013518032,0.002562116,3.66E-05,0.005755102,0.054421769,0.002851837,8.39E-05,0.079229287,146.9999992,293.9999984,16
2011,1.96659313,0.402906367,0.005376,0.846,8,0.41922,0.010272847,11.65036834,15.1,1000,0.013023796,0.002668254,3.56E-05,0.005602649,0.052980132,0.002776291,6.80E-05,0.077154757,151.0000013,302.0000026,16
2012,1.962986198,0.424820259,0.005376,0.846,8.08,0.41922,0.008218277,11.74662073,15.4,1000,0.012746664,0.002758573,3.49E-05,0.005493506,0.052467532,0.002722208,5.34E-05,0.076276758,154.0000014,308.0000027,16.16
2013,1.619458128,0.446140377,0.005376,0.846,8.16,0.41922,0.005752794,11.5019473,16,1000,0.010121613,0.002788377,0.0000336,0.0052875,0.051,0.002620125,3.60E-05,0.071887171,160,320,16.32
2014,1.592739726,0.45012,0.005376,0.84809,8.2927,0.41922,0.00534188,11.61358761,16.3,1000,0.009771409,0.002761472,3.30E-05,0.005203006,0.05087546,0.002571902,3.28E-05,0.071249004,163.0000004,326.0000008,16.5854
2015,1.495242424,0.46904872,0.00578816,0.85028,8.2256625,0.41922,0.004520053,11.46976186,17,1000,0.008795544,0.00275911,0.000034048,0.005001647,0.04838625,0.002466,2.66E-05,0.067469187,170,340,16.451325
2016,1.412526316,0.488553034,0.00620032,0.85281,8.1588875,0.41922,0.004099757,11.34229693,17.5,1000,0.008071579,0.002791732,3.54E-05,0.0048732,0.046622214,0.002395543,2.34E-05,0.064813125,175.0000011,350.0000021,16.317775
2017,1.379820896,0.480422917,0.00720384,0.84799,8.28975,0.41922,0.00407911,11.42848676,17.7,1000,0.007795598,0.002714254,4.07E-05,0.004790904,0.046834746,0.002368475,2.30E-05,0.064567722,176.9999991,353.9999982,16.5795
2018,1.361666667,0.472898333,0.00745472,0.848955,8.35015,0.410855008,0.004312834,11.45629256,18.4,1000,0.007400362,0.0025701,4.05E-05,0.004613886,0.04538125,0.002232908,2.34E-05,0.06226246,184,368,16.7003
2019,1.343647059,0.463212,0.00826112,0.85131,8.6075,0.402140667,0.00414731,11.68021816,19.2,1000,0.006998162,0.002412563,4.30E-05,0.004433906,0.044830729,0.002094483,2.16E-05,0.06083447,192.0000007,384.0000014,17.215
2020,1.343647059,0.4325328,0.00822528,0.849445,8.9755,0.395541833,0.003594965,12.00848694,20,1000,0.006718235,0.002162664,4.11E-05,0.004247225,0.0448775,0.001977709,1.80E-05,0.060042435,200,400,17.951
2021,1.272176471,0.408816,0.00827008,0.80971,9.2845875,0.388943,0.003341279,12.17584433,20.9,1000,0.006086969,0.001956057,3.96E-05,0.003874211,0.044423864,0.001860971,1.60E-05,0.058257628,208.9999983,417.9999966,18.569175
2022,1.250735294,0.3983772,0.00831488,0.7827075,9.6265,0.384285,0.003093634,12.45401351,21.1,1000,0.005927655,0.001888044,3.94E-05,0.003709514,0.045623223,0.001821256,1.47E-05,0.059023761,210.9999988,421.9999977,19.253
2023,1.229294118,0.3878432,0.00838656,0.778335,9.80545,0.374969,0.002898864,12.58717674,21.88587403,1000,0.005616838,0.001772117,3.83E-05,0.003556335,0.044802643,0.001713292,1.32E-05,0.05751279,218.8587401,437.7174802,19.6109
2024,1.215,0.382425,0.00845824,0.756045,9.9774,0.365653,0.002692895,12.70767414,22.20562728,1000,0.005471586,0.001722199,3.81E-05,0.003404745,0.044931854,0.001646668,1.21E-05,0.057227269,222.0562721,444.1125443,19.9548
2025,1.200705882,0.3774666,0.008195413,0.720427,9.9402375,0.3598305,0.002542951,12.60940585,22.47034948,1000,0.005343512,0.001679843,3.65E-05,0.003206123,0.044237129,0.001601357,1.13E-05,0.056115753,224.7034951,449.4069902,19.880475
2026,1.191176471,0.3622988,0.007932587,0.692092667,9.9015,0.354008,0.002401262,12.51140979,22.6966295,1000,0.005248253,0.001596267,3.50E-05,0.003049319,0.04362542,0.001559738,1.06E-05,0.055124528,226.9662963,453.9325925,19.803
