year,aluminium_massperm2,backsheet_massperm2,copper_massperm2,encapsulant_massperm2,glass_massperm2,silicon_massperm2,silver_massperm2,total_massperm2,mod_eff (%),STC irradiance (W/m2),aluminium_massperW,backsheet_massperW,copper_massperW,encapsulant_massperW,glass_massperW,silicon_massperW,silver_massperW,total_massperW,wattdc_per_m2,wattdc_per_module,glass_kg_per_module
2027,1.181647059,0.346042933,0.00766976,0.680278111,10.00840556,0.348573667,0.002266884,12.57488397,22.89448321,1000,0.005161274,0.001511469,3.35E-05,0.002971363,0.043715359,0.001522523,9.90E-06,0.054925389,228.9448329,457.8896657,20.01681112
2028,1.172117647,0.329870667,0.007394987,0.668333333,10.11340556,0.343139333,0.002129635,12.63639116,23.07043369,1000,0.005080605,0.001429842,3.21E-05,0.002896926,0.043837085,0.001487355,9.23E-06,0.054773098,230.7043354,461.4086708,20.22681112
2029,1.162588235,0.312095,0.007120213,0.670197333,10.2165,0.337705,0.001992776,12.70819856,23.22897228,1000,0.005004906,0.001343559,3.07E-05,0.002885179,0.043981713,0.001453809,8.58E-06,0.054708398,232.2897246,464.5794492,20.433
2030,1.153058824,0.294894444,0.00684544,0.671741333,10.17091111,0.335376,0.001856311,12.63468346,23.3733262,1000,0.004933225,0.001261671,2.93E-05,0.002873966,0.043515035,0.001434866,7.94E-06,0.054055993,233.7332628,467.4665255,20.34182222
2031,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,23.50589418,1000,0.004864862,0.001181541,2.91E-05,0.002864326,0.04307435,0.001416866,7.90E-06,0.053438964,235.0589413,470.1178827,20.25002222
2032,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,23.62850877,1000,0.004839617,0.001175409,2.90E-05,0.002849462,0.042850826,0.001409513,7.86E-06,0.053161655,236.2850861,472.5701722,20.25002222
2033,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,23.7426023,1000,0.004816361,0.001169761,2.88E-05,0.002835769,0.042644909,0.00140274,7.82E-06,0.05290619,237.4260222,474.8520444,20.25002222
2034,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,23.84931597,1000,0.00479481,0.001164527,2.87E-05,0.00282308,0.042454094,0.001396464,7.78E-06,0.052669461,238.4931618,476.9863236,20.25002222
2035,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,23.94957409,1000,0.004774738,0.001159652,2.86E-05,0.002811262,0.042276372,0.001390618,7.75E-06,0.052448976,239.4957427,478.9914854,20.25002222
2036,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.04413599,1000,0.00475596,0.001155091,2.85E-05,0.002800206,0.042110106,0.001385149,7.72E-06,0.052242702,240.4413589,480.8827178,20.25002222
2037,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.13363324,1000,0.004738323,0.001150808,2.84E-05,0.002789822,0.041953945,0.001380012,7.69E-06,0.052048965,241.3363299,482.6726597,20.25002222
2038,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.21859695,1000,0.0047217,0.00114677,2.83E-05,0.002780034,0.041806762,0.00137517,7.66E-06,0.051866367,242.1859677,484.3719353,20.25002222
2039,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.29947807,1000,0.004705983,0.001142953,2.82E-05,0.002770781,0.041667607,0.001370593,7.64E-06,0.051693729,242.9947827,485.9895655,20.25002222
2040,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.3766628,1000,0.004691083,0.001139334,2.81E-05,0.002762008,0.041535674,0.001366253,7.62E-06,0.051530049,243.766626,487.533252,20.25002222
2041,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.45048453,1000,0.004676919,0.001135894,2.80E-05,0.002753669,0.041410268,0.001362128,7.59E-06,0.051374468,244.5048438,489.0096876,20.25002222
2042,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.52123306,1000,0.004663425,0.001132617,2.79E-05,0.002745724,0.041290791,0.001358198,7.57E-06,0.051226242,245.212331,490.424662,20.25002222
2043,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.5891619,1000,0.004650542,0.001129488,2.78E-05,0.002738139,0.041176723,0.001354446,7.55E-06,0.051084727,245.8916196,491.7832393,20.25002222
2044,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.65449415,1000,0.004638219,0.001126495,2.78E-05,0.002730883,0.041067608,0.001350857,7.53E-06,0.050949357,246.5449439,493.0898878,20.25002222
2045,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.71742718,1000,0.00462641,0.001123627,2.77E-05,0.00272393,0.040963046,0.001347418,7.51E-06,0.050819635,247.1742729,494.3485458,20.25002222
2046,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.77813646,1000,0.004615074,0.001120874,2.76E-05,0.002717256,0.040862682,0.001344116,7.49E-06,0.050695121,247.7813647,495.5627293,20.25002222
2047,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.8367787,1000,0.004604178,0.001118227,2.76E-05,0.00271084,0.040766201,0.001340943,7.47E-06,0.050575425,248.3677866,496.7355732,20.25002222
2048,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.89349446,1000,0.004593688,0.00111568,2.75E-05,0.002704664,0.040673322,0.001337888,7.46E-06,0.050460197,248.9349434,497.8698868,20.25002222
2049,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,24.94841027,1000,0.004583576,0.001113224,2.74E-05,0.00269871,0.040583793,0.001334943,7.44E-06,0.050349125,249.484101,498.9682019,20.25002222
2050,1.143529412,0.277731667,0.00684544,0.673285333,10.12501111,0.333047,0.001856311,12.56130627,25.00164048,1000,0.004573818,0.001110854,2.74E-05,0.002692965,0.040497387,0.001332101,7.42E-06,0.050241928,250.016405,500.03281,20.25002222
