Facility Name,p1,p10,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p11,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p12,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p13,p130,p131,p132,p133,p134,p14,p15,p16,p17,p18,p19,p2,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p3,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p4,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p5,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p6,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p7,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p8,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p9,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
Cedar Hill Landfill,3319.2280512873836,2835.8027378110014,903.6425774120167,674.4522202762014,951.2508571245173,1102.5245438062775,925.8747378796055,777.4570673931619,689.9182346499774,570.9815562747935,428.2221407511232,478.50944846321914,2827.8283404287254,502.756832402496,921.0135392294011,774.979284334708,701.247239479147,632.2493675218531,925.1442929920038,782.072533325858,622.6011897246815,601.7088765509662,1108.3559181131718,2793.439450192648,1004.96870561634,906.9765865934952,1111.690202957967,1028.4510350131218,1053.624424149794,1118.1503519363469,1249.90902510507,1381.4529875886565,1383.4500787021007,1631.1664244288847,2633.7853957830703,1678.9480484966887,1567.452263152242,1465.9996793217274,1551.857362242313,1937.1792688968808,2969.8026595792217,2755.8659132337852,2498.456274204473,2723.780639744472,2512.0362722688633,2329.435623329807,3289.4911243450833,2321.763575525902,2254.5276943276767,2120.5335259131393,1999.0245565553826,1959.6619873017785,2372.9476339207786,2261.8766789458305,2522.0324497614574,2341.1705479802245,2141.7216475007876,3109.7259958357718,2384.723376623824,1877.1647950598742,1870.538117604678,1882.1462988572216,1784.7636013989827,2176.655875703225,2002.2653127069657,1889.0204156444702,1672.5290829740698,1700.3854498282012,3169.4705342347675,1434.0980429352574,1203.181110299298,1768.6276896603317,1530.6930418464126,1445.219678989842,1237.0684969313913,1378.4897817255255,1642.4637000623802,1439.6328017644767,1430.976353836055,3201.7210039269753,1050.6298451317755,907.3727550786141,1443.5146619885652,1141.0545487702423,956.8427615862313,788.3142329408996,707.1976482275132,783.1659036676695,637.2584013993844,1885.8037188678263,3323.6113404079215,1325.4638645400626,1570.0747415077258,1531.4172377928041,1031.9711812228013,1188.1598046945694,1318.064994956227,854.4200265804221,991.2157270486883,1305.7816338270422,1143.912772941393,3006.282721112352,1039.3281932092118,866.3994652897555,706.2135691517916,622.585762737182,1418.6438542897538,1295.1763329797643,1175.9596026453448,1139.848190673836,1048.9327108255286,1053.4985128046317,3199.5942275432903,922.1363703808784,701.5208288444153,794.9356992144054,696.7395724240911,593.3496529693031,549.396203435711,552.5428577213098,386.62581952155637,258.41941356903493,109.12649938062752,3192.94089588111,176.40963962953023,348.8346052099472,235.44087232609044,376.38942347404844,280.1347150520405,391.52394103565786,526.3665171108672,481.13410160983585,764.7159137791858,853.0436107583737
Star Ridge Landfill,3304.4564735912877,2807.5027902483703,939.1991969751884,680.4700553152549,957.4935177354707,1123.2962491531055,943.7893915979274,794.4214136478415,707.5423559520962,587.6189068322374,438.7829468083571,504.8559783296549,2797.6382407363817,535.4898173566048,949.39139262071,802.7656224397615,726.5747849407505,657.4246105406091,957.6629265169245,816.1732927662526,656.0132679308131,637.4613323087507,1141.5885292222881,2769.837401020373,1039.7231443804765,941.3125988681192,1145.7998013243905,1064.3629390003512,1090.1574258389487,1154.3672986873828,1285.7265179124315,1414.843505453675,1419.3112502785818,1665.2396811570734,2606.4747587299676,1713.6355993089485,1602.8543403716983,1501.5698989291886,1587.6522564863208,1971.5836590195768,2956.0730899059427,2738.475732700746,2479.96059900727,2710.0378425103763,2500.3679872878297,2320.5825229023494,3273.3394722045095,2310.1600574305826,2237.143713016322,2106.436036094091,1985.8696093987774,1942.5512088707296,2349.175852216131,2240.374197124391,2494.1314547709767,2311.504781743273,2113.2384538467018,3095.787475284804,2353.035879433478,1847.6648549918868,1858.3330632311913,1861.2232356168251,1760.6876287683401,2168.141000620176,1996.2381016389172,1886.957546947447,1664.4875027132484,1684.3728491826391,3154.656582207171,1420.8027938658865,1192.2258928993517,1771.4295085326485,1534.1760782894496,1442.6062356551367,1231.8519149149668,1385.1421090070812,1611.2656280940987,1410.4031088733307,1405.3596468069977,3183.7160159269897,1022.8182309054803,883.3102437055994,1422.4156107839776,1121.730475066691,946.7996301344876,770.8503042703819,681.9401123067723,749.4756635407244,600.7318630510981,1853.0238449525093,3303.11398479662,1293.8015295437706,1535.6861340656133,1497.9487179445,998.0983729854617,1152.2682323639049,1281.5503983788374,818.0832488559224,954.6900719423948,1305.528077876011,1145.7221942623585,2986.6565327951666,1037.1051450030143,862.0000472996818,698.9920233535593,613.0289099943457,1431.8610607510145,1306.655276842728,1186.208996259427,1146.1962602749336,1057.5954346731248,1065.2630251801565,3177.597283644077,931.2383438833446,702.9062241308781,799.6119348425809,705.05732470142,580.0205764495033,521.8195658345629,517.3407152268414,350.1777743573396,228.24810146827895,76.42537153881968,3167.991340368166,157.6899651315602,335.06350488860994,251.47107650463806,381.75873966548687,304.08743389282273,427.5198111597134,559.338660857487,517.6692610968005,800.673985220689,889.4075600053817
Arrowhead Landfill,3320.3719857898336,2750.796718821043,1092.77397180405,651.6109816675571,923.050185090724,1266.8611746439697,1081.753784611099,931.0189621932473,846.1737640941017,725.1810582388,565.1875969715182,659.3338316564333,2728.2214579004085,693.586214286815,1105.4468041585092,958.3100879412864,879.1179381493807,809.9321338845169,1115.8402189759465,973.2561416849614,813.7734303826388,790.4305330795362,1299.485246874219,2741.451933151689,1195.6731499303025,1098.0506641929794,1302.8574474595769,1216.087956177735,1233.437424992931,1303.670552922824,1437.8857583818344,1572.6380569301114,1571.1655925162959,1822.3347781884615,2556.452309343138,1869.6657924303809,1756.834379809004,1654.8837740499514,1739.832581247054,2128.158172556136,2977.4255277772468,2742.7919549453727,2479.373595397513,2731.8159553839414,2532.040806591956,2364.9734504238654,3282.7277952695235,2342.622404973841,2242.782452515808,2128.212932000001,2012.418059800775,1950.5853981601574,2320.8151898465935,2224.8380077911393,2440.609630025928,2246.690251468276,2056.918526898912,3115.927531368992,2273.4539203961735,1785.3879803393068,1889.690313766904,1850.1768829361288,1732.7175186508794,2214.4043016995206,2053.334603150091,1959.9271456604652,1714.7049517761964,1698.9394999541735,3170.6068064081055,1449.6966112007067,1233.4268847846956,1862.4036743926695,1628.382922252108,1515.495607550669,1296.2423117471951,1490.3855093644206,1537.6977916106273,1352.1725205728926,1370.4238474674812,3184.159311881379,977.8139937977076,863.7722506571787,1412.954840337621,1124.4080809348327,994.877452356892,788.8601024122444,660.2323783940511,662.4441634530624,464.2588510086921,1765.9194814166476,3290.6407380047394,1218.4254969718565,1434.7930491913905,1406.111439775167,905.7504440019844,1034.2861171089064,1147.8517663092152,693.1745371008577,821.3214963825034,1387.9266115432274,1236.4745174983816,2979.224398373276,1114.6182889074823,933.7445522837734,763.2357459242318,670.548519427114,1556.320237614303,1426.7011454703756,1303.2755866942014,1251.775244641303,1170.781661577773,1187.2282110562269,3157.3383849065376,1046.634561502827,797.590523159126,903.1944438183725,820.6303722764286,623.0307644959379,491.86952571767944,418.70917361722326,232.69968623666554,215.78143512982578,137.31616724173858,3131.2067731677894,99.23794454258984,243.42742032118608,394.59664393820464,497.23708058037874,378.4043937539618,561.2156669878266,666.9141537916668,662.5770223991748,930.2272133254284,1037.2918974539703
Chastang Sanitary Landfill,3415.947898145021,2779.8412353763943,1218.2089966490819,582.0143282431576,837.8645668908622,1427.1979919264088,1242.625652943472,1091.9135084082552,1006.9685630052924,885.99948237988,725.8678687867464,814.2102701105541,2743.2839206859435,836.2826761866899,1258.148086928984,1111.8524378244942,1035.700711476882,966.5202991930953,1258.1180777927248,1109.2592098355128,953.5629643773965,916.8113913182701,1438.6007235070063,2799.3131145890707,1326.9128207530187,1232.2627796345032,1437.6523873800936,1336.7691481711959,1338.5651348486056,1419.0062926909184,1558.5347352260872,1710.5842384123243,1690.6722985920067,1956.2942158275837,2593.285821405073,1999.5274321121124,1880.9285988200947,1777.5462969805856,1859.583958284887,2259.6068394763806,3078.012172234277,2830.0783879271003,2563.306281333476,2833.2942585194037,2641.550931935547,2484.0191574890064,3373.015384765149,2453.236687414965,2332.8115474025517,2231.5395043313665,2119.8070686110614,2043.8657987906938,2380.264756851819,2296.62515165519,2474.2206607361672,2268.910689501345,2089.4337307944234,3215.275024490294,2278.5189148001286,1813.239778146883,2001.126215485192,1927.9219401081823,1795.8749724703155,2335.1368317910183,2181.61878346115,2097.9198804424045,1839.7835482411858,1798.7890680877267,3266.4935030014285,1561.845088006825,1355.6008247541747,2009.8822570859547,1777.7769004881561,1654.7830683309242,1431.9064675131287,1644.461131453722,1554.9731388257997,1388.698570183897,1430.3589612483925,3267.0751500702595,1034.388302861154,946.4898008144634,1495.4903848119775,1220.3048983066765,1123.6396132418517,902.0044568655163,747.7314033619376,683.2226888085343,417.84204682258405,1764.8834914637291,3361.9038700836763,1237.6400657228248,1418.8514624800941,1402.5049272514543,910.5570473214738,999.1315209791027,1083.6524653563454,656.0960501140456,764.0232372704302,1532.5428789420334,1385.45393123885,3055.7370565309334,1258.1517511349107,1075.8130925360779,903.5950027841069,809.173644627347,1715.8364635189319,1585.3413024362296,1461.3035076815088,1406.4325392373107,1327.9635444098276,1346.5093464351849,3221.739363452211,1204.6253758562614,950.2681882636267,1058.253806094676,979.1684818314657,755.3508192498517,581.6236509857836,442.96517705574735,264.48752322923934,348.65336374218003,298.2174995753656,3179.7399388516587,174.01958050566986,159.2730116516876,554.1989751982213,656.9411168109447,438.0423788127448,664.3859533314015,736.6005119863518,777.2957515914093,1018.8853756409266,1151.7792586800222
City of Decatur / Morgan County Landfill,3193.271216694804,2733.8400447647837,914.8860914778929,801.4699042781176,1078.4065883711764,1022.3649359027154,837.0238620869851,686.3811333029147,601.3672656965598,480.3832531249758,322.67133779516394,427.6068426811459,2732.9815621355647,490.84016816905336,874.4496156371255,726.5294268494557,641.6175895730893,572.7831994027072,904.9610912289045,777.1303198867615,613.6312360395009,620.214329685417,1092.6824351650691,2679.003851901632,1004.866872319792,903.1141406431015,1104.0206250333144,1044.6727317224681,1090.0395991892349,1140.442978650173,1263.0990811666607,1365.8369319856592,1396.832161868718,1621.0042210368754,2528.766026114685,1675.068630116376,1572.856921600343,1474.2247728427456,1563.4558406312221,1929.6295473437838,2843.2545301156792,2632.119887947048,2375.9605237558426,2597.254659657452,2384.6686829883097,2201.684418101245,3164.5527760664777,2194.3849021332308,2130.8655371848677,1994.2616628069413,1872.2628727834299,1835.797668399917,2259.0373825419574,2143.717108041967,2418.9333963409076,2244.5406441077735,2040.8746607290075,2983.2824441878715,2297.198358068026,1780.3796503859721,1743.385816771791,1763.2159801451367,1671.8997232944034,2048.914755061074,1874.964095640015,1763.7263375163905,1544.8150623429146,1575.580196096655,3043.5507268516913,1307.4954225106821,1075.7121183666343,1647.9476430397406,1410.867817074938,1319.5267057651101,1110.000481023469,1263.2452316706344,1553.5219613392155,1342.5563255179939,1322.3009121194134,3078.557603095002,949.5667290970451,796.105104064775,1325.1940141858722,1020.3426086755561,829.2135509192142,665.7725041761004,600.1427003315974,713.7219293410072,621.1159477453627,1805.1112189213343,3203.5982300037626,1239.7063577984873,1501.898867640981,1456.075612848203,961.7882127678362,1139.307361503021,1286.6898174371204,818.1667570905769,962.928271498976,1181.9125175047388,1022.1236198169601,2885.104352035296,913.8602394136635,739.6234629188461,578.5389808783482,494.9442946002076,1316.259941236783,1189.0094859022856,1067.3407182569554,1024.2119055452645,937.3539091019012,948.2284007420302,3082.0024438393007,811.5306390261022,579.3064334747257,676.9414519665822,585.0171184834143,467.3325086698738,451.66939273913425,501.61993696716297,366.4560286125007,187.31077434300155,107.90658896476683,3081.3551850474805,275.6380419531123,454.61268754508,153.44935342917134,260.44269448541206,400.5202936799742,460.35568559711055,617.7901518750967,525.6558085836384,827.1181662672448,881.7528541467755
Coffee County Sanitary Landfill,3492.3213368975075,2907.0698802569154,1084.9144941900374,479.77458531435474,751.1996467457569,1358.7981641261367,1184.18141957411,1036.0087075488136,948.3731112079016,829.570217502071,683.9030759803179,727.608373819549,2877.7455387871855,725.4749358721812,1160.6710835547885,1017.6414407343794,951.0833182055225,882.7688936646426,1142.255355648047,986.7424849463804,837.1235730931778,786.6926503149019,1317.6488723244186,2908.1749361700945,1198.1031893573409,1106.9362214518394,1311.846582586604,1199.3271239975759,1192.288489914496,1277.8035420316744,1420.2901445901905,1587.193376997632,1551.3103132702754,1827.982897791904,2715.9365406284296,1867.308997501339,1744.3276213857437,1640.1342851953984,1720.0128473601203,2128.329438106552,3149.131581029908,2914.5987210642975,2650.9092477084628,2903.471362068561,2702.675615815989,2533.2905467598925,3454.6807392364876,2513.100358244592,2414.687125213637,2299.7810326256645,2183.529754000619,2122.561227326364,2487.8196426303193,2394.628076078888,2598.710393702828,2399.5342039494312,2214.3162852408377,3287.712244851209,2417.28616140752,1940.4974212715529,2060.167293815353,2020.8360717185417,1900.3755492587488,2382.227429013618,2218.064226999518,2118.534594962784,1881.2237131879817,1870.8220393473237,3342.551095586078,1620.2715243655973,1401.6334593104732,2011.3495501099358,1775.0978809154944,1673.7485795106202,1457.698017527779,1629.012262277659,1687.424474565971,1510.4894614600908,1536.9015468497837,3355.67528751426,1142.637024730944,1034.4480412861878,1584.074879052476,1296.377835570895,1160.9807907036522,959.9489544813396,831.2135122308754,811.2100995274965,568.3403519833179,1905.7713481452076,3460.5697088789684,1368.5834959593712,1564.7704135959405,1543.948446955433,1047.2932462084023,1149.8141232275918,1239.2025956169396,806.0965859186665,918.4339137215254,1541.388412789096,1384.9721371565558,3149.961901861844,1270.1060731265259,1091.4168475702431,923.3112955090529,832.5476191902882,1676.4543163090466,1551.762108329339,1431.3736046336837,1389.9747409433378,1302.5027679534378,1310.3030168822308,3325.8272365955127,1176.2781777109876,942.6834395743965,1042.4807345961544,949.9765742608922,789.0338978601219,662.6799972889132,566.4801146968572,378.4714398529784,386.07334074915866,274.42579537393914,3295.205678851602,91.3253236829703,90.271451410493,493.8291701498934,625.9841019101747,284.2064121970494,521.934856789048,582.1538133741046,640.036212077876,867.5979469859358,1011.1768814286903
Cullman Environmental Waste Management Center,3246.0801260682447,2762.6470262797293,936.714639261389,740.8134384454557,1017.8390784107827,1080.897411713464,897.8165509693875,747.5727162507918,661.7282297029124,541.0146856466881,386.5045237205945,474.1922845328751,2756.4861319368083,521.4346186654154,921.185599888779,773.6223433151764,692.6373384358888,623.4881362171238,941.0055445529357,806.0839662503037,643.7131058585625,637.4692601344161,1127.147812681276,2718.28263105836,1032.2060949915115,931.9420580851248,1134.9732153433915,1064.3906095431464,1099.7322742755853,1157.3569083490754,1284.6195168536894,1400.639288420722,1418.4171979218238,1653.6502073780623,2559.960006767553,1704.9467537717505,1598.3868152896694,1498.3420788117064,1586.052825507235,1961.3180841885728,2897.2374498773847,2681.524086334443,2423.7455633185605,2651.2030528312043,2440.807805530789,2260.4106179477944,3215.6639538552627,2250.576961407143,2180.1778788041365,2047.733573728394,1926.7870128155625,1885.4063830388027,2297.8210891890935,2186.6346032615575,2448.5992617346405,2269.286037749695,2068.7565879810118,3037.0400660834157,2315.505469757777,1805.1620196288711,1798.9181515656269,1806.9455609480422,1709.7042284152667,2107.92124519087,1935.8577080943105,1826.9415079961102,1604.2055628567934,1626.5812363495495,3096.2978780517533,1361.74518218464,1132.4214708673967,1712.8691527706512,1475.943866037719,1382.5165268856128,1171.4937943755817,1328.6059749016692,1572.6194074744622,1367.4387176663688,1356.3895203714508,3127.171922263971,977.3326471594896,832.3660297468355,1368.2921432994374,1066.0867359289127,886.7723294428359,713.8349409333566,632.6092160910033,719.090101905744,596.2529278583138,1818.7193609121016,3248.473796603446,1256.4594077680258,1507.4184470227417,1466.0634421897473,968.0713166210256,1133.1224068029078,1271.1929760040425,804.433627644464,945.3286812045362,1245.9774073942588,1086.8844614536945,2931.295824777211,977.1250470772862,801.719536032619,638.6224400938003,552.8664162992726,1380.3226226039537,1253.636795398099,1132.2578900916794,1089.5728435712326,1002.5387266244296,1012.6602254467487,3124.3373633070855,876.605550894017,644.1025914889785,742.2620633398051,650.1287412668686,520.838157853875,476.26346001435496,494.85035351959283,341.4393609346998,189.7305822053735,58.59514072143821,3118.0649284974074,210.40031137682013,389.3344049671819,207.8212575187041,325.7028250711019,355.3892039341088,450.2291356388192,594.894728778788,529.1962650662703,822.237494982793,894.9445278046294
Eastern Area Sanitary Landfill,3294.67077242917,2795.1030277432296,948.9798872851942,688.3379271453836,965.3252028851037,1125.2578384369242,944.6454685299877,794.9632196058476,708.3857287354709,588.1629637397821,437.2509526234384,509.49644672370016,2785.0434565443447,543.3445517739026,954.7914850345875,807.9181731688418,730.6179412324742,661.4337363417694,965.2787623764436,824.8212057874188,664.2400864977437,647.4638724223718,1149.6220304380897,2758.160792698504,1048.8204107943175,950.1091533746362,1154.4165084431763,1074.4965186059082,1101.3775338457392,1164.8775923364115,1295.7484368628466,1422.9575195691027,1429.3757104729978,1673.8016637787523,2594.2041996861703,1722.6465382673337,1612.4614287818015,1511.3363521462713,1597.641381662541,1980.373920971399,2946.5508747551057,2728.0821583655957,2469.323570790283,2700.5181665710215,2491.3837983568837,2312.358115855779,3263.223738598323,2301.199549633748,2226.763992161801,2096.847558252207,1976.5234205729223,1932.2447759225618,2337.474200603167,2229.1067054477307,2481.7832752262975,2298.958559688821,2100.820992736302,3086.2103601457356,2340.347942513885,1835.137624919361,1849.2372806803037,1850.083511212932,1748.9432127998982,2160.01660117397,1988.824005959657,1880.7237466375855,1656.5266625436152,1674.3374922331336,3144.8632042229083,1411.4585770721746,1183.5201573987767,1766.7342899149953,1529.7284394485878,1436.2491805635577,1224.7500952464525,1381.7738899013198,1598.6034413156979,1397.908506412092,1393.3623030378812,3173.175498374132,1010.5059666132005,871.6136300677678,1411.2582040014136,1110.9752355677,938.386677098998,760.5781120259098,670.0537792985017,736.7916068119115,589.6069698291593,1840.3156988597855,3292.0344665968355,1281.1171740586008,1523.0689812058283,1485.2566630600672,985.4281352151135,1140.0474299361247,1270.001342560555,806.2009781501285,943.191110851875,1299.9172749618497,1140.7957554548823,2975.764107208323,1030.939201545625,855.2277134960864,691.4577593527525,604.875811200965,1430.816440083316,1304.9947459920068,1184.1306045488213,1142.7697180147102,1054.988331947778,1063.758496059498,3166.2179519732044,928.8239299007562,698.0004769003165,795.7349982815492,702.4726736624864,570.8589132608023,509.58242039316525,504.8603518766569,338.4713957869989,215.74461687718014,63.780810598908026,3156.0768139982433,158.54869487362868,336.9718885338834,252.45138067355956,378.5236544590206,316.0915896764456,439.6667600925374,572.0385907459636,528.924816460616,812.8477078935508,900.163427301363
Florence Sanitary Landfill,3136.2620992436905,2678.509379858344,944.767933946882,853.9667309774098,1130.9928431524631,1008.1860883865537,818.4193504263585,667.3683400002809,584.8356693003353,464.14928004834724,298.5608010321103,436.1041797565392,2679.44160863065,515.8082413393057,879.2730340778578,731.5748021108296,641.7378342751307,573.8967072943989,921.9582665552005,801.4873317848705,637.935331712176,654.9365748810204,1110.7090506849797,2621.3613817049404,1029.829020332756,927.069663159704,1125.4266066946032,1075.8617803920679,1128.367753647547,1173.5654443012731,1292.403490925444,1382.9677304397292,1425.872684952061,1639.9158504598554,2472.7719401874438,1696.5509363709095,1598.3575194290136,1501.0588075517057,1591.4506882272906,1949.1601459238855,2786.6098128614212,2574.3908192639005,2318.048288678257,2540.592617692297,2328.909575643557,2147.488625867688,3107.1268876666577,2138.6467048503596,2073.11392791783,1937.4229954666744,1815.7863814187397,1778.0789996334483,2201.4774721771405,2085.749431532219,2363.38005778424,2190.6229413423134,1985.9238023379353,2926.5635055502253,2245.8410348523485,1726.5560245180015,1687.3198966251189,1705.2171596845235,1614.5313100393266,1994.9290572991404,1822.7179032016895,1714.833472432372,1491.1294333984265,1518.0882017889883,2986.521611224364,1250.8819019697623,1020.179699246754,1604.1175224393724,1368.0069219994175,1270.2543374180605,1058.4801287032915,1224.559179249241,1502.080958381679,1288.866349881797,1265.7539603029186,3020.735018968577,895.0969323370606,739.2624165770183,1267.2369307328836,962.3176668616042,774.1480591091874,607.8094701323506,544.5426138170816,670.8800389226095,601.8785003112104,1756.1106923510508,3145.572933778873,1189.551947899258,1457.4559120229492,1409.165268056231,917.6414220558643,1102.8831641456497,1256.9331473963043,788.3221059336372,935.63732995362,1135.0649759487728,977.7426388732383,2827.102381933492,865.2031745701302,688.9830180077239,525.4610323119613,440.04119313478674,1287.127560863618,1157.4548111489523,1034.2449403776548,985.5904654865307,902.2991794094754,917.9622311846485,3024.05742541756,777.6805499074189,535.536832112079,637.1980055088236,551.4796762280603,410.2684040644066,399.6475721992907,468.64313893878847,351.10843217258986,157.21899208548015,135.23432728983124,3024.093441764949,315.9798003261026,494.1010118622621,161.2291837376399,228.08432258915775,458.4083661088661,511.43697855525824,672.7435482516557,569.7880345273222,874.4956977052686,918.2100604541105
Franklin County Landfill AL,3146.5278501395906,2668.456174338777,978.6098879305324,835.6221123613201,1112.4420986533676,1048.981995067296,858.6418312897599,707.6025524038105,625.4952232872726,504.9380038515075,338.4100242910013,476.06486040660974,2665.7930571748984,551.4117333065526,920.01213278886,772.2463919007752,682.8534583230903,614.9145720995249,960.4028101305017,837.5524603250159,673.9124811280176,686.186805773725,1148.9313339958178,2619.193146082608,1065.7604206942642,963.338307678432,1162.6350453336984,1109.1251613694449,1157.619318472121,1205.8738926950816,1326.6005298397024,1421.4880228117954,1460.2118639251742,1677.9794467060049,2464.3884232908113,1733.833018274989,1634.1979944415468,1536.3546707420303,1626.2722838922073,1987.0738545745385,2798.1698315880026,2581.2124251487826,2323.3161598350175,2552.135342494318,2342.9948070155256,2164.8849250660933,3115.6306943630166,2152.824911328417,2079.8665113259203,1948.509921137433,1828.071554249598,1785.1439821536057,2198.8706483331225,2086.600034813695,2353.8801056045545,2177.6880257450775,1975.0787779066252,2937.8654521349263,2228.780480574293,1713.4921304480943,1700.8035685644456,1706.7583953845392,1611.0421691791967,2012.742292210324,1843.3405149391494,1739.6132904688752,1509.6489471015138,1526.59922755256,2996.72991402437,1263.0051658831746,1035.394228567017,1633.504320511675,1398.219230077352,1294.840713503045,1080.5305253676122,1257.5476469296761,1485.1880652043615,1275.6279446577028,1259.2072692549725,3026.7797123125197,883.4975131081829,734.066213671092,1268.1751890792386,965.6651656100098,790.7233487655728,613.501682230368,535.8637170512663,644.6187976939101,563.2256476723535,1736.0270815916595,3148.171790889297,1170.9358467994068,1432.665713711895,1386.771307212584,892.5593846648105,1072.0121226007918,1222.4646339779154,753.7521190411613,899.9856036478989,1162.175938150637,1007.0844789436189,2830.883575197306,890.8244516347389,712.6763227243756,546.2597660430034,457.9502064190677,1324.4453826989989,1193.9180070164489,1070.1392138461513,1018.7792117010199,937.4111823795006,955.0588681581423,3024.447539486663,813.4638109646269,566.1058247892075,670.181309093649,587.7397932845014,422.4244927393383,384.1093017702623,435.43278111002667,311.1815012294375,121.34890933223646,104.88838652430687,3019.9127546549976,288.09702694890007,464.30609517158393,200.28719462841474,266.1564379117767,455.28945205323174,529.2815787891753,684.3928419162969,594.6424851286624,896.4366356878003,948.5801599924995
