,Facility Name,Longitude,Latitude,$/ Ton
0,"Environmental Logistics, Inc",-122.123380015662,37.637464011851,114.7427593417367
1,"Environmental Logistics, Inc",-118.922518025582,35.353816796725,114.7427593417367
2,"Environmental Logistics, Inc",-119.054166920974,35.356587916779,114.7427593417367
3,"Environmental & Chemical Consulting, Inc.",-117.3964223,34.0631669,114.7427593417367
4,"Environmental Regulatory Compliance, LLC",-117.1215845,34.066315,114.7427593417367
5,"Hazmat TSDF, Inc.",-117.37223599915,34.061186092003,114.7427593417367
6,Recology Auburn Placer,-121.093923049557,38.955711489057,114.7427593417367
7,Recology Butte Colusa Counties,-121.566306995957,39.491271013157,114.7427593417367
8,Recology Yuba Sutter,-121.546013989274,39.172541936474,114.7427593417367
9,South Tahoe Refuse Co.,-120.001947646962,38.918016477915,114.7427593417367
10,Waste Connections of CA Inc.,-122.285947205607,40.201106557965,114.7427593417367
11,City of Elk Grove - Special Waste Collection Center,-121.355520403644,38.378853741278,114.7427593417367
12,Recology Mountain View,-122.071409198489,37.40810924089,114.7427593417367
13,Recology of the Coast,-122.493074164955,37.643557445911,114.7427593417367
14,Recology San Bruno,-122.412708058214,37.640554880556,114.7427593417367
15,Recology San Mateo County,-122.259871681342,37.518947672806,114.7427593417367
16,Recology South Bay,-121.905830903866,37.370757049588,114.7427593417367
17,Recology South Bay,-121.611238020291,37.095742992636,114.7427593417367
18,"Silicon Valley Tech Source, Inc.",-121.884263428806,37.424079909653,114.7427593417367
19,Waste Connections of CA Inc,-122.285947205607,40.201106557965,114.7427593417367
20,City of Folsom,-121.17022116723,38.68150037652,114.7427593417367
21,"Recycle PV Solar, LLC",-119.927311744507,38.967725312788,114.7427593417367
22,Capital City Solar,-121.29654021994,38.763770390658,114.7427593417367
23,Electronic Recyclers International,-119.776965379611,36.687481737084,114.7427593417367
24,CEAR Inc,-121.305884952334,38.564843478876,114.7427593417367
25,Modoc County Waste Management,-118.352055844998,37.212930500536,114.7427593417367
26,Modoc County Waste Management,-121.157621607139,41.203656111239,114.7427593417367
27,Modoc County Waste Management,-120.127587748747,41.6312719796,114.7427593417367
28,Solar Works,-122.820562079,38.40678823572,114.7427593417367
29,Waste Tire Products,-122.18857935126,39.574315534793,114.7427593417367
30,Fort Irwin NTC,-116.686456,35.25448,114.7427593417367
31,"Solarcraft Services, Inc.",-122.533916413101,38.069660336743,114.7427593417367
32,Butte Habitat Restore,-121.818812667308,39.713850021229,114.7427593417367
33,California Conservation Corps,-118.273831893817,34.004237136806,114.7427593417367
34,CED Greentech of San Diego,-117.129785426487,32.897257205517,114.7427593417367
35,"Blue Line Transfer, Inc.",-122.383075013004,37.648686081007,114.7427593417367
36,Pebbly Beach (Avalon) Disposal Site,-118.310871579533,33.333134594627,114.7427593417367
37,"CEAR, Inc",-121.305884952334,38.564843478876,114.7427593417367
38,A.S.I Cyber Concepts LLC,-122.037826935778,37.592963062969,114.7427593417367
39,Fulton Connor,-118.922685831284,34.195813412869,114.7427593417367
40,Corporate eWaste Solutions,-117.889469413967,33.922283497603,114.7427593417367
41,Butte Regional PHHWCF (managed by US Ecology/Republic Services),-121.853758162751,39.80290241996,114.7427593417367
42,Solarviva,-122.073123716783,38.234063781907,114.7427593417367
43,Thousand Oaks Permanent HHW Collection Center,-118.93332707646,34.203904966919,114.7427593417367
44,"Daggett 2 Solar, LLC",-116.779219702249,34.866420694099,114.7427593417367
45,"Daggett 3 Solar, LLC",-116.779219702249,34.866420694099,114.7427593417367
46,"US Ecology, Inc. a Republic Services Company",-121.858831812562,38.455490571659,114.7427593417367
47,PV Circonomy (Facility owned by STAG Industry),-117.174981067504,33.635523754002,114.7427593417367
48,"Cali Resources, Inc.",-116.932686733516,32.556465953848,114.7427593417367
49,A.S.I Cyber Concepts LLC,-122.088079965714,37.601442992502,114.7427593417367
50,California Recycles,-118.532969997513,34.227895356821,114.7427593417367
51,Salinas Valley Solid Waste Authority,-121.673496198688,36.694564068082,114.7427593417367
52,"Lighting Resources, LLC",-117.638491345338,34.041232819135,114.7427593417367
53,Bishop Hydro Plant 4,-118.500681984471,37.324568991235,114.7427593417367
54,Ewaste LLC,-122.714660923329,38.398234210163,114.7427593417367
55,Marborg Industries,-120.47895278804,34.920889737513,114.7427593417367
56,Santa Cruz County Buena Vista HHW (County residents only - not available to Watsonville residents),-121.815944799136,36.916541381235,114.7427593417367
