Year,Quarter,PCA,Recycler Name,case_id,Site,State,Cost
2026,1,p12,ComstockMetals,405025,Brady,NV,2028.576492169179
2026,1,p12,ComstockMetals,405553,Dodge Flat,NV,562.7564872686132
2026,1,p12,ComstockMetals,402609,"EGP Stillwater Solar PV II, LLC",NV,4577.866469551987
2026,1,p12,ComstockMetals,401086,Ft. Churchill PV,NV,1718.6715498372482
2026,1,p12,ComstockMetals,405028,Galena 2 Geothermal Power Plant,NV,4729.054502019307
2026,1,p12,ComstockMetals,400468,"Patua Acquisition Project, LLC",NV,1513.417049761162
2026,1,p12,ComstockMetals,405021,Steamboat Hills LP,NV,64856.36327919943
2026,1,p12,ComstockMetals,405023,Steamboat II,NV,6066.882092883174
2026,1,p12,ComstockMetals,405024,Steamboat III,NV,2719.3511233572667
2026,1,p12,ComstockMetals,400029,Stillwater Facility,NV,2362.1819563574395
2026,1,p12,ComstockMetals,401318,Sunshine Valley Solar,NV,6028.461631188655
2026,1,p12,ComstockMetals,405026,TS Power Plant,NV,8157.493368460159
2026,1,p12,ComstockMetals,405576,Tesla Reno GigaFactory,NV,1423.1860712722275
2026,1,p12,ComstockMetals,403308,Turquoise Liberty Solar,NV,3365.156690490846
2026,1,p12,ComstockMetals,403884,"Turquoise Nevada, LLC",NV,2094.7396774124445
2026,1,p12,ComstockMetals,400035,Western 102 Power Plant,NV,12119.335361536894
2026,1,p13,WeRecycleSolar,400555,Apex Solar PV Power Project,NV,129340.93629937789
2026,1,p13,WeRecycleSolar,405385,Arrow Canyon Solar Hybrid,NV,4808.9107885979465
2026,1,p13,WeRecycleSolar,401649,"Boulder Solar Power, LLC",NV,23496.218126957727
2026,1,p13,WeRecycleSolar,400086,CM48,NV,48043.153930437555
2026,1,p13,WeRecycleSolar,400363,Copper Mountain Solar 2,NV,15258.667280889427
2026,1,p13,WeRecycleSolar,403688,"Copper Mountain Solar 5, LLC",NV,9560.880487307177
2026,1,p13,WeRecycleSolar,405358,Dignity - San Martin,NV,371839.7797331782
2026,1,p13,WeRecycleSolar,405355,Dignity - Siena Campus,NV,871195.241966269
2026,1,p13,WeRecycleSolar,405556,Dry Lake Solar Energy Center,NV,17594.286350299164
2026,1,p13,WeRecycleSolar,405495,Gemini Solar,NV,1379.8411406186785
2026,1,p13,WeRecycleSolar,406090,IGS LAS1,NV,1217507.0036699153
2026,1,p13,WeRecycleSolar,406089,IGS VGT,NV,848418.9451370295
2026,1,p13,WeRecycleSolar,405309,IKEA Las Vegas 462,NV,2534998.9466344086
2026,1,p13,WeRecycleSolar,400545,Las Vegas WPCF Solar Plant,NV,749349.9314644742
2026,1,p13,WeRecycleSolar,400313,Moapa Southern Paiute,NV,10784.621564357338
2026,1,p13,WeRecycleSolar,400600,Mountain View Solar,NV,32587.779037104476
2026,1,p13,WeRecycleSolar,400036,Nellis Air Force Base Solar Array,NV,53384.72261736345
2026,1,p13,WeRecycleSolar,401042,Searchlight Solar,NV,61202.36794127961
2026,1,p13,WeRecycleSolar,400658,Silver State Solar Power South,NV,9883.178493192816
2026,1,p13,WeRecycleSolar,405246,"Solar Las Vegas MB 2, LLC",NV,1668122.4771214675
2026,1,p13,WeRecycleSolar,402691,"Techren Solar III, LLC",NV,31195.37447096963
2026,1,p13,WeRecycleSolar,404971,Yellow Pine Solar,NV,29664.330587082746
2026,1,p27,WeRecycleSolar,400374,"Black Mountain Solar, LLC",AZ,12764.011929230015
2026,1,p27,WeRecycleSolar,402236,Gray Hawk Solar,AZ,2966.398353618635
2026,1,p27,WeRecycleSolar,401819,Jacobson 5 MW Solar,AZ,9261.360491937277
2026,1,p27,WeRecycleSolar,401311,Mohave Electric at Fort Mohave,AZ,28070.40401993519
2026,1,p28,WeRecycleSolar,400148,Agua Caliente Solar Project,AZ,3004.9082236142385
2026,1,p28,WeRecycleSolar,400274,Arizona Western College PV,AZ,110182.67619440981
2026,1,p28,WeRecycleSolar,400240,Arlington Valley Solar Energy II,AZ,3367.522711161633
2026,1,p28,FabTechSolar,401688,Bonnybrooke PV,AZ,5424.667134307724
2026,1,p28,WeRecycleSolar,400371,Buckeye Union HS District 201,AZ,24935.742264908084
2026,1,p28,FabTechSolar,406171,Eleven Mile Solar Center,AZ,1316.0588838540157
2026,1,p28,WeRecycleSolar,400349,Foothills Solar Plant Hybrid,AZ,33396.85184364018
2026,1,p28,FabTechSolar,400825,Fort Huachuca Solar PV Project,AZ,69521.63549410811
2026,1,p28,WeRecycleSolar,400845,Gila Bend Hybrid,AZ,4437.309124955498
