Year,Quarter,PCA,Recycler Name,case_id,Site,State,Cost
2026,1,p12,ComstockMetals,405025,Brady,NV,1811.7188429522607
2026,1,p12,ComstockMetals,405553,Dodge Flat,NV,492.480838541752
2026,1,p12,ComstockMetals,402609,"EGP Stillwater Solar PV II, LLC",NV,4106.079822596789
2026,1,p12,ComstockMetals,401086,Ft. Churchill PV,NV,1532.8043948535235
2026,1,p12,ComstockMetals,405028,Galena 2 Geothermal Power Plant,NV,4242.149051817377
2026,1,p12,ComstockMetals,400468,"Patua Acquisition Project, LLC",NV,1348.0753447850454
2026,1,p12,ComstockMetals,405021,Steamboat Hills LP,NV,58356.72695127948
2026,1,p12,ComstockMetals,405023,Steamboat II,NV,5446.193883594856
2026,1,p12,ComstockMetals,405024,Steamboat III,NV,2433.4160110215403
2026,1,p12,ComstockMetals,400029,Stillwater Facility,NV,2111.963760721696
2026,1,p12,ComstockMetals,401318,Sunshine Valley Solar,NV,5411.615468069789
2026,1,p12,ComstockMetals,405026,TS Power Plant,NV,7327.744031614145
2026,1,p12,ComstockMetals,405576,Tesla Reno GigaFactory,NV,1266.867464145005
2026,1,p12,ComstockMetals,403308,Turquoise Liberty Solar,NV,3014.641021441762
2026,1,p12,ComstockMetals,403884,"Turquoise Nevada, LLC",NV,1871.2657096711998
2026,1,p12,ComstockMetals,400035,Western 102 Power Plant,NV,10893.401825383204
2026,1,p13,WeRecycleSolar,400555,Apex Solar PV Power Project,NV,116392.84266944011
2026,1,p13,WeRecycleSolar,405385,Arrow Canyon Solar Hybrid,NV,4314.019709738152
2026,1,p13,WeRecycleSolar,401649,"Boulder Solar Power, LLC",NV,21132.596314261955
2026,1,p13,WeRecycleSolar,400086,CM48,NV,43224.83853739381
2026,1,p13,WeRecycleSolar,400363,Copper Mountain Solar 2,NV,13718.800552800487
2026,1,p13,WeRecycleSolar,403688,"Copper Mountain Solar 5, LLC",NV,8590.792438576462
2026,1,p13,WeRecycleSolar,405358,Dignity - San Martin,NV,334641.8017598604
2026,1,p13,WeRecycleSolar,405355,Dignity - Siena Campus,NV,784061.7177696422
2026,1,p13,WeRecycleSolar,405556,Dry Lake Solar Energy Center,NV,15820.857715269245
2026,1,p13,WeRecycleSolar,405495,Gemini Solar,NV,1227.857026556811
2026,1,p13,WeRecycleSolar,406090,IGS LAS1,NV,1095742.303302924
2026,1,p13,WeRecycleSolar,406089,IGS VGT,NV,763563.0506233264
2026,1,p13,WeRecycleSolar,405309,IKEA Las Vegas 462,NV,2281485.0519709676
2026,1,p13,WeRecycleSolar,400545,Las Vegas WPCF Solar Plant,NV,674400.9383180267
2026,1,p13,WeRecycleSolar,400313,Moapa Southern Paiute,NV,9692.159407921605
2026,1,p13,WeRecycleSolar,400600,Mountain View Solar,NV,29315.001133394027
2026,1,p13,WeRecycleSolar,400036,Nellis Air Force Base Solar Array,NV,48032.25035562711
2026,1,p13,WeRecycleSolar,401042,Searchlight Solar,NV,55068.131147151646
2026,1,p13,WeRecycleSolar,400658,Silver State Solar Power South,NV,8880.860643873535
2026,1,p13,WeRecycleSolar,405246,"Solar Las Vegas MB 2, LLC",NV,1501296.2294093207
2026,1,p13,WeRecycleSolar,402691,"Techren Solar III, LLC",NV,28061.837023872664
2026,1,p13,WeRecycleSolar,404971,Yellow Pine Solar,NV,26683.897528374473
2026,1,p27,WeRecycleSolar,400374,"Black Mountain Solar, LLC",AZ,11473.610736307011
2026,1,p27,WeRecycleSolar,402236,Gray Hawk Solar,AZ,2655.758518256772
2026,1,p27,WeRecycleSolar,401819,Jacobson 5 MW Solar,AZ,8321.224442743549
2026,1,p27,WeRecycleSolar,401311,Mohave Electric at Fort Mohave,AZ,25249.363617941668
2026,1,p28,WeRecycleSolar,400148,Agua Caliente Solar Project,AZ,2690.4174012528147
2026,1,p28,WeRecycleSolar,400274,Arizona Western College PV,AZ,99150.40857496882
2026,1,p28,WeRecycleSolar,400240,Arlington Valley Solar Energy II,AZ,3016.77044004547
2026,1,p28,FabTechSolar,401688,Bonnybrooke PV,AZ,4868.200420876952
2026,1,p28,WeRecycleSolar,400371,Buckeye Union HS District 201,AZ,22428.168038417276
2026,1,p28,FabTechSolar,406171,Eleven Mile Solar Center,AZ,1170.4529954686145
2026,1,p28,WeRecycleSolar,400349,Foothills Solar Plant Hybrid,AZ,30043.166659276165
2026,1,p28,FabTechSolar,400825,Fort Huachuca Solar PV Project,AZ,62555.47194469732
