Year,PCA,Recycler Name,Cost
2026,p48,SolarCycle,3.333348182
2026,p57,SolarCycle,3.333348182
2026,p59,SolarCycle,3.333348182
2026,p60,SolarCycle,3.333348182
2026,p61,SolarCycle,3.333348182
2026,p62,SolarCycle,3.333348182
2026,p63,SolarCycle,3.333348182
2026,p64,SolarCycle,3.333348182
2026,p65,SolarCycle,3.333348182
2026,p66,SolarCycle,3.333348182
2026,p67,SolarCycle,3.333348182
2026,p27,"We Recycle Solar, Inc.",3.333348182
2026,p28,"We Recycle Solar, Inc.",3.333348182
2026,p29,"We Recycle Solar, Inc.",3.333348182
2026,p30,"We Recycle Solar, Inc.",3.333348182
2026,p48,Okon Recycling,3.333348182
2026,p57,Okon Recycling,3.333348182
2026,p59,Okon Recycling,3.333348182
2026,p60,Okon Recycling,3.333348182
2026,p61,Okon Recycling,3.333348182
2026,p62,Okon Recycling,3.333348182
2026,p63,Okon Recycling,3.333348182
2026,p64,Okon Recycling,3.333348182
2026,p65,Okon Recycling,3.333348182
2026,p66,Okon Recycling,3.333348182
2026,p67,Okon Recycling,3.333348182
2026,p27,FabTech Solar Solutions,3.333348182
2026,p28,FabTech Solar Solutions,3.333348182
2026,p29,FabTech Solar Solutions,3.333348182
2026,p30,FabTech Solar Solutions,3.333348182
2027,p48,SolarCycle,2.607740973
2027,p57,SolarCycle,2.607740973
2027,p59,SolarCycle,2.607740973
2027,p60,SolarCycle,2.607740973
2027,p61,SolarCycle,2.607740973
2027,p62,SolarCycle,2.607740973
2027,p63,SolarCycle,2.607740973
2027,p64,SolarCycle,2.607740973
2027,p65,SolarCycle,2.607740973
2027,p66,SolarCycle,2.607740973
2027,p67,SolarCycle,2.607740973
2027,p27,"We Recycle Solar, Inc.",2.607740973
2027,p28,"We Recycle Solar, Inc.",2.607740973
2027,p29,"We Recycle Solar, Inc.",2.607740973
2027,p30,"We Recycle Solar, Inc.",2.607740973
2027,p48,Okon Recycling,2.607740973
2027,p57,Okon Recycling,2.607740973
2027,p59,Okon Recycling,2.607740973
2027,p60,Okon Recycling,2.607740973
2027,p61,Okon Recycling,2.607740973
2027,p62,Okon Recycling,2.607740973
2027,p63,Okon Recycling,2.607740973
2027,p64,Okon Recycling,2.607740973
2027,p65,Okon Recycling,2.607740973
2027,p66,Okon Recycling,2.607740973
2027,p67,Okon Recycling,2.607740973
2027,p27,FabTech Solar Solutions,2.607740973
2027,p28,FabTech Solar Solutions,2.607740973
2027,p29,FabTech Solar Solutions,2.607740973
2027,p30,FabTech Solar Solutions,2.607740973
2028,p48,SolarCycle,3.274454453
2028,p57,SolarCycle,3.274454453
2028,p59,SolarCycle,3.274454453
2028,p60,SolarCycle,3.274454453
2028,p61,SolarCycle,3.274454453
2028,p62,SolarCycle,3.274454453
2028,p63,SolarCycle,3.274454453
2028,p64,SolarCycle,3.274454453
2028,p65,SolarCycle,3.274454453
2028,p66,SolarCycle,3.274454453
2028,p67,SolarCycle,3.274454453
2028,p27,"We Recycle Solar, Inc.",3.274454453
2028,p28,"We Recycle Solar, Inc.",3.274454453
2028,p29,"We Recycle Solar, Inc.",3.274454453
2028,p30,"We Recycle Solar, Inc.",3.274454453
2028,p48,Okon Recycling,3.274454453
2028,p57,Okon Recycling,3.274454453
2028,p59,Okon Recycling,3.274454453
2028,p60,Okon Recycling,3.274454453
2028,p61,Okon Recycling,3.274454453
2028,p62,Okon Recycling,3.274454453
2028,p63,Okon Recycling,3.274454453
2028,p64,Okon Recycling,3.274454453
2028,p65,Okon Recycling,3.274454453
2028,p66,Okon Recycling,3.274454453
2028,p67,Okon Recycling,3.274454453
2028,p27,FabTech Solar Solutions,3.274454453
2028,p28,FabTech Solar Solutions,3.274454453
2028,p29,FabTech Solar Solutions,3.274454453
2028,p30,FabTech Solar Solutions,3.274454453
2029,p48,SolarCycle,3.25
2029,p57,SolarCycle,3.25
2029,p59,SolarCycle,3.25
2029,p60,SolarCycle,3.25
2029,p61,SolarCycle,3.25
2029,p62,SolarCycle,3.25
2029,p63,SolarCycle,3.25
2029,p64,SolarCycle,3.25
2029,p65,SolarCycle,3.25
2029,p66,SolarCycle,3.25
2029,p67,SolarCycle,3.25
2029,p27,"We Recycle Solar, Inc.",3.25
2029,p28,"We Recycle Solar, Inc.",3.25
2029,p29,"We Recycle Solar, Inc.",3.25
2029,p30,"We Recycle Solar, Inc.",3.25
2029,p48,Okon Recycling,3.25
2029,p57,Okon Recycling,3.25
2029,p59,Okon Recycling,3.25
2029,p60,Okon Recycling,3.25
2029,p61,Okon Recycling,3.25
2029,p62,Okon Recycling,3.25
2029,p63,Okon Recycling,3.25
2029,p64,Okon Recycling,3.25
2029,p65,Okon Recycling,3.25
2029,p66,Okon Recycling,3.25
2029,p67,Okon Recycling,3.25
2029,p27,FabTech Solar Solutions,3.25
2029,p28,FabTech Solar Solutions,3.25
2029,p29,FabTech Solar Solutions,3.25
2029,p30,FabTech Solar Solutions,3.25
2030,p48,SolarCycle,3.229966226
2030,p57,SolarCycle,3.229966226
2030,p59,SolarCycle,3.229966226
2030,p60,SolarCycle,3.229966226
2030,p61,SolarCycle,3.229966226
2030,p62,SolarCycle,3.229966226
2030,p63,SolarCycle,3.229966226
2030,p64,SolarCycle,3.229966226
2030,p65,SolarCycle,3.229966226
2030,p66,SolarCycle,3.229966226
2030,p67,SolarCycle,3.229966226
2030,p27,"We Recycle Solar, Inc.",3.229966226
2030,p28,"We Recycle Solar, Inc.",3.229966226
2030,p29,"We Recycle Solar, Inc.",3.229966226
2030,p30,"We Recycle Solar, Inc.",3.229966226
2030,p48,Okon Recycling,3.229966226
2030,p57,Okon Recycling,3.229966226
2030,p59,Okon Recycling,3.229966226
2030,p60,Okon Recycling,3.229966226
2030,p61,Okon Recycling,3.229966226
2030,p62,Okon Recycling,3.229966226
2030,p63,Okon Recycling,3.229966226
2030,p64,Okon Recycling,3.229966226
2030,p65,Okon Recycling,3.229966226
2030,p66,Okon Recycling,3.229966226
2030,p67,Okon Recycling,3.229966226
2030,p27,FabTech Solar Solutions,3.229966226
2030,p28,FabTech Solar Solutions,3.229966226
2030,p29,FabTech Solar Solutions,3.229966226
2030,p30,FabTech Solar Solutions,3.229966226
