mat_EOL_ReMFG_VAT,mat_EOL_Recycled_2_HQ,mat_EOL_Recycled_2_OQ,mat_EOL_Recycled_HQ_into_MFG,mat_EOL_Recycled_HQ_into_MFG_notUSED,mat_EOL_Recycled_HQ_into_OU,mat_EOL_Recycled_VAT,mat_EnteringModuleManufacturing_total,mat_EnteringModuleManufacturing_virgin,mat_L0,mat_L1,mat_L2,mat_L3,mat_L4,mat_LostinModuleManufacturing,mat_MFG_Recycled_HQ_into_MFG,mat_MFG_Recycled_HQ_into_OU,mat_MFG_Recycled_into_HQ,mat_MFG_Recycled_into_OQ,mat_MFG_Scrap,mat_MFG_Scrap_Landfilled,mat_MFG_Scrap_Recycled_Losses_Landfilled,mat_MFG_Scrap_Recycled_Successfully,mat_MFG_Scrap_Sentto_Recycling,mat_Manufacturing_Input,mat_PG2_stored,mat_Total_EOL_Landfilled,mat_Total_Landfilled,mat_Total_MFG_Landfilled,mat_Total_Recycled_OU,mat_UsedSuccessfullyinModuleManufacturing,mat_Virgin_Stock,mat_Virgin_Stock_Raw,mat_reMFG,mat_reMFG_2_recycle,mat_reMFG_all_unyields,mat_reMFG_mod_unyield,mat_reMFG_target,mat_reMFG_untarget,mat_reMFG_unyield,mat_reMFG_yield,mat_recycled_PG4,mat_recycled_all,mat_recycled_target,mat_recycled_yield,year
0.0,0.0,0.0,0.0,0.0,0.0,0.0,86573615.1632653,86573615.1632653,0.0,0.0,0.0,0.0,0.0,1731472.3032653034,0.0,0.0,0.0,21508733.722784575,107543668.61392288,0.0,86034934.8911383,21508733.722784575,107543668.61392288,192385811.47392288,0.0,0.0,86034934.8911383,86034934.8911383,21508733.722784575,84842142.86,192385811.47392288,961929057.3696144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995
0.0,0.0,2.727117154069599,0.0,0.0,0.0,0.0,64610533.69938049,64610533.69938049,241.46349801657908,25.56672331940249,0.0,13.635585770347996,0.6817792885173999,1292210.6739876121,0.0,0.0,0.0,16052128.150201641,80260640.7510082,0.0,64208512.60080656,16052128.150201641,80260640.7510082,143578963.77640107,0.0,281.347586394847,64208793.94839295,64208512.60080656,16052130.877318796,63318323.025392875,143578963.77640107,703818449.8843191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.044482212934994,17.044482212934994,3.408896442586999,2.727117154069599,1996
0.0,0.0,57.47693183048705,0.0,0.0,0.0,0.0,75054453.1943212,75054453.1943212,5089.1033391577075,538.846235910816,0.0,287.38465915243523,14.369232957621762,1501089.063886419,0.0,0.0,0.0,18646861.926944688,93234309.63472342,-1.4901161193847656e-08,74587447.70777875,18646861.926944688,93234309.63472344,166787673.7651582,0.0,5929.7034671785805,74593377.41124591,74587447.70777874,18646919.403876517,73553364.13043478,166787673.7651582,801863816.1786453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.23082394054404,359.23082394054404,71.84616478810881,57.47693183048705,1997
0.0,0.0,331.57227154590436,0.0,0.0,0.0,0.0,73501397.00465433,73501397.00465433,29357.961543126952,3108.4900457428544,0.0,1657.8613577295218,82.8930678864761,1470027.9400930852,0.0,0.0,0.0,18261013.744711902,91305068.7235595,0.0,73044054.9788476,18261013.744711902,91305068.7235595,163336437.78812075,0.0,34207.206014485804,73078262.18486208,73044054.9788476,18261345.316983446,72031369.06456125,163336437.78812075,770454895.2269846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.3266971619023,2072.3266971619023,414.46533943238046,331.57227154590436,1998
0.0,0.0,1108.431846755804,0.0,0.0,0.0,0.0,101746092.96584867,101746092.96584867,98142.40309817014,10391.548563335662,0.0,5542.15923377902,277.10796168895104,2034921.8593169749,0.0,0.0,0.0,25278251.54129307,126391257.70646535,0.0,101113006.16517228,25278251.54129307,126391257.70646535,226102428.81299704,0.0,114353.21885697376,101227359.38402925,101113006.16517228,25279359.973139826,99711171.1065317,226102428.81299704,1046770503.7638751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6927.699042223775,6927.699042223775,1385.539808444755,1108.431846755804,1999
0.0,0.0,2746.331192563881,0.0,0.0,0.0,0.0,121764516.80502859,121764516.80502859,243164.74100826032,25746.854930286387,0.0,13731.655962819405,686.5827981409707,2435290.3361005783,0.0,0.0,0.0,30251717.730671544,151258588.6533577,0.0,121006870.92268617,30251717.730671544,151258588.6533577,270587815.1222857,0.0,283329.8346995071,121290200.75738569,121006870.92268617,30254464.061864108,119329226.46892801,270587815.1222857,1229944614.1922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17164.569953524257,17164.569953524257,3432.9139907048516,2746.331192563881,2000
0.0,0.0,5659.23682170306,0.0,0.0,0.0,0.0,157186156.1678909,157186156.1678909,501078.26025495847,53055.34520346619,0.0,28296.1841085153,1414.809205425765,3143723.1233578324,0.0,0.0,0.0,39052027.24348934,195260136.21744668,0.0,156208108.97395736,39052027.24348934,195260136.21744668,349302569.26197976,0.0,583844.5987723657,156791953.57272974,156208108.97395736,39057686.48031104,154042433.04453307,349302569.26197976,1559386469.9195526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35370.230135644124,35370.230135644124,7074.046027128825,5659.23682170306,2001
0.0,0.0,10307.565193160408,0.0,0.0,0.0,0.0,231199674.17684665,231199674.17684665,912649.0014777444,96633.42368587882,0.0,51537.82596580203,2576.891298290102,4623993.483536929,0.0,0.0,0.0,57440274.60660324,287201373.0330162,0.0,229761098.42641297,57440274.60660324,287201373.0330162,513777053.72632587,0.0,1063397.1424277155,230824495.56884068,229761098.42641297,57450582.171796404,226575680.69330972,513777053.72632587,2253408130.378622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64422.28245725254,64422.28245725254,12884.45649145051,10307.565193160408,2002
0.0,0.0,17188.996453613137,0.0,0.0,0.0,0.0,314999500.75438243,314999500.75438243,1521942.3943303302,161146.8417526232,0.0,85944.98226806571,4297.249113403286,6299990.015087664,0.0,0.0,0.0,78259875.96519992,391299379.8259995,-5.960464477539063e-08,313039503.8607997,78259875.96519992,391299379.82599956,699998890.5652943,0.0,1773331.4674644223,314812835.32826406,313039503.8607996,78277064.96165353,308699510.73929477,699998890.5652943,3017236597.2641993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107431.22783508213,107431.22783508213,21486.245567016424,17188.996453613137,2003
0.0,0.0,26826.068994726418,0.0,0.0,0.0,0.0,483682400.1573209,483682400.1573209,2375224.858908068,251494.39682556008,0.0,134130.34497363208,6706.517248681601,9673648.00314641,0.0,0.0,0.0,101157309.5399719,505786547.69985944,-5.960464477539063e-08,404629238.1598876,101157309.5399719,505786547.6998595,979795299.854034,0.0,2767556.1179559417,407396794.2778435,404629238.15988755,101184135.60896663,474008752.1541745,979795299.854034,4151674999.3815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167662.93121704008,167662.93121704008,33532.58624340802,26826.068994726418,2004
