Year,BSF,Non-BSF
2035,1.00,0.00
2040,0.93,0.07
2044,0.75,0.25
2046,0.58,0.42
2048,0.25,0.75
2050,0.13,0.87
2052,0.08,0.92
2054,0.03,0.97
2056,0.00,1.00
