generator_size,max_storage_kg,max_storage_days,waste_generation_limit_kg,state
very_small,1000,,100,FED
small,6000,180,1000,FED
large,,90,,FED
small,,180,1000,CA
large,1000,90,,CA
very_small,100,0,100,WA
small,1000,180,1000,WA
large,,90,,WA
