Year,BSF,Non-BSF
2035,1.0,0.0
2036,0.99,0.01
2037,0.97,0.03
2038,0.96,0.04
2039,0.94,0.06
2040,0.93,0.07
2041,0.88,0.12
2042,0.84,0.16
2043,0.8,0.2
2044,0.75,0.25
2045,0.66,0.34
2046,0.58,0.42
2047,0.42,0.58
2048,0.25,0.75
2049,0.19,0.81
2050,0.13,0.87
2051,0.11,0.9
2052,0.08,0.92
2053,0.06,0.94
2054,0.03,0.97
2055,0.02,0.98
2056,0.0,1.0
