,Landfill Name,Accept PV waste?,Solar Cycle Costs ($/metric tons),Unnamed: 0,Type,State,City ,Longitude,Latitude,Waste Business Journal Costs ($/metric tons),Remaining Capacity (metric tons),Close Date,Waste Types Accepted,Waste Types NOT Accepted,Principal Waste Description
0,Apache Junction Landfill,Yes,58.9670055,20,LF,AZ,Apache Junction,-111.53089,33.367198,46.29702,12897026.999999998,2035.0,"Non-Friable Asb., C&D Waste, MSW, Sludge, Wood, Appliances, Yard Waste",Tires,"MSW: 1,053 TPD"
1,Mohave Valley Landfill,No,,28,LF,AZ,Fort Mohave,-114.5125,35.015278,40.1791995,2612474.7,2036.0,"Animal Waste, C&D Waste, MSW, Biosolids, Sludge, Special Waste, Truck Tires, Tractor Tires, Tires, Wood, Yard Waste",Cont. Soil,MSW: 343 TPD
2,South Yuma County Landfill,No,,33,LF,AZ,Yuma,-114.61613,32.5689,36.37623,17636960.0,2050.0,"C&D Waste, Old Mattresses & Box Springs, MSW, Tires, Appliances, Yard Waste",Freon Appl.,"MSW: 1,588 TPD"
3,Apex Regional Landfill,Yes,45.359235,345,LF,NV,Las Vegas,-115.1092,36.1514,49.60395,195108870.0,2093.0,"Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, MSW, Biosolids, Sludge, Yard Waste",Tires,"MSW: 6,530 TPD"
4,Victoria Landfill,Yes,105.941029266,495,LF,TX,Victoria,-96.90579,28.69511,59.50269379999999,2678613.3,2042.0,"Animal Waste, Asbestos, Non-Friable Asb., C&D Waste, Cont. Soil, Indust. Waste, Food Waste, Medical Waste, MSW, Recyclables, Sludge, Truck Tires, Tires, Yard Waste",Tractor Tires,MSW: 424 TPD
5,City of Clovis Landfill,No,,336,LF,NM,Clovis,-103.170834,34.383334,17.3834287,2810890.4999999995,2102.0,"Animal Waste, Non-Friable Asb., C&D Waste, Dirt, Cont. Soil, Indust. Waste, Scrap Metal, MSW, Non-haz Ash, Oil, Scrap Paper, Recyclables, Biosolids, Tires, Appliances, Yard Waste",Sludge,CLS: 191 TPD
6,Northeastern New Mexico Regional Landfill,Yes,35.83379565,339,LF,NM,Wagon Mound,-104.676432,36.104615,34.491279899999995,2193596.9,2097.0,"C&D Waste, Cont. Soil, Indust. Waste, Scrap Metal, MSW, Oil, Recyclables, Truck Tires, Tractor Tires, Tires, Appliances, Yard Waste","Non-Friable Asb., Special Waste",MSW: 80 TPD
